n,N,N_label,standard_paper_grid,seed,scaled_budget,Delta_N_u_total,Delta_N_u_mean_term,Delta_N_u_cov_term,self_consistency_kl_u
100,100,N=n,1,49,0.0082644628099173,10.89337044860659,4.867668431521281,6.025702017085308,0.0369064111159066
100,100,N=n,1,50,0.0082644628099173,6.975783012452175,2.385188632205973,4.590594380246202,0.0383403632096494
100,100,N=n,1,51,0.0082644628099173,7.776948761695246,2.324073372572521,5.452875389122726,0.031334450170126
100,100,N=n,1,52,0.0082644628099173,9.904688495762464,3.1093966015327883,6.795291894229675,0.0613326652180427
100,100,N=n,1,53,0.0082644628099173,5.853955731139898,1.0251319259495446,4.828823805190353,0.1123348961223729
100,100,N=n,1,54,0.0082644628099173,11.13124958230351,5.012390497180581,6.1188590851229305,0.0289351874892574
100,100,N=n,1,55,0.0082644628099173,8.464026372859463,1.9015572834212755,6.562469089438187,0.005615159069024
100,100,N=n,1,56,0.0082644628099173,8.500820184129164,2.439123435981971,6.061696748147193,-0.0023513872432797
100,100,N=n,1,57,0.0082644628099173,9.215163135697932,2.7407358777706947,6.474427257927237,-0.0588177858463314
100,100,N=n,1,58,0.0082644628099173,9.12590881506718,3.297906306526452,5.828002508540729,-0.0046121960378714
100,100,N=n,1,59,0.0082644628099173,9.749599593443534,3.5232322537292866,6.2263673397142485,0.0107214015405224
100,100,N=n,1,60,0.0082644628099173,9.156642116475124,3.170236206324611,5.986405910150511,-0.0121657075456675
100,100,N=n,1,61,0.0082644628099173,7.716225270708486,1.9947404213042277,5.721484849404258,0.0018198831626953
100,100,N=n,1,62,0.0082644628099173,10.37980708446336,3.631550705789088,6.74825637867427,0.0221890428177376
100,100,N=n,1,63,0.0082644628099173,10.28418014822269,3.3411257782059987,6.943054370016691,-0.0425458912450088
100,100,N=n,1,64,0.0082644628099173,6.825198975954493,2.2914829083860377,4.533716067568455,-0.046212603805043
100,100,N=n,1,65,0.0082644628099173,10.489679342498931,3.34777577602568,7.1419035664732515,0.0107833352568475
100,100,N=n,1,66,0.0082644628099173,6.602323971480743,3.258498963838323,3.3438250076424203,0.000441578189496
100,100,N=n,1,67,0.0082644628099173,6.036342295556585,1.7827966865914815,4.253545608965103,-0.0053536453422425
100,100,N=n,1,68,0.0082644628099173,7.959843913412893,4.2158604341449895,3.743983479267904,-0.1105183955638904
100,100,N=n,1,69,0.0082644628099173,7.763114774988823,2.62208934461856,5.141025430370263,-0.0233017196423012
100,100,N=n,1,70,0.0082644628099173,6.498766236115082,1.7608723491407343,4.737893886974348,-0.0603451557099776
100,100,N=n,1,71,0.0082644628099173,9.719549418902314,2.5012540468405455,7.218295372061769,-0.0410986618318553
100,100,N=n,1,72,0.0082644628099173,8.812719902906652,2.720440496392896,6.0922794065137555,-0.0189831827562829
100,100,N=n,1,73,0.0082644628099173,6.386352684723027,2.382969658165184,4.003383026557843,-0.0257856557626873
100,100,N=n,1,74,0.0082644628099173,9.653940112987112,3.310505180911492,6.343434932075621,0.0227748934691734
100,100,N=n,1,75,0.0082644628099173,7.445550778194389,2.457743059075847,4.987807719118542,-0.083781630396476
100,100,N=n,1,76,0.0082644628099173,6.682007792238773,1.5908761627645478,5.091131629474225,0.0788411583813114
100,100,N=n,1,77,0.0082644628099173,6.834976900059778,1.6331464760711134,5.201830423988665,0.0374199716329849
100,100,N=n,1,78,0.0082644628099173,9.618563942982764,2.560331668458497,7.058232274524268,-0.0195122292331969
100,100,N=n,1,79,0.0082644628099173,7.591122720259032,1.794015448971283,5.797107271287749,0.0777100964666552
100,100,N=n,1,80,0.0082644628099173,10.358879655185335,3.125875491660164,7.233004163525171,0.0318533817688614
100,100,N=n,1,81,0.0082644628099173,10.534832100370956,3.502438694447442,7.032393405923514,0.0456488881992283
100,100,N=n,1,82,0.0082644628099173,6.104047914254184,1.370292258644613,4.7337556556095715,0.0257223719006254
100,100,N=n,1,83,0.0082644628099173,10.44620356578179,4.02096270427278,6.42524086150901,0.0361812268779011
100,100,N=n,1,84,0.0082644628099173,11.433437068621195,5.399905012283996,6.033532056337198,0.0383121878596568
100,100,N=n,1,85,0.0082644628099173,10.030303766137845,3.8721076766639193,6.158196089473924,-0.0065015432418192
100,100,N=n,1,86,0.0082644628099173,10.642142162651435,3.9112009852945864,6.73094117735685,-0.0765315256931542
100,100,N=n,1,87,0.0082644628099173,8.562501039511957,2.2327392927413516,6.329761746770606,0.0932764974444764
100,100,N=n,1,88,0.0082644628099173,5.389050714764746,1.947843800957446,3.4412069138073007,0.0375616679651922
