method,n,N,N_label,standard_paper_grid,kl_seed_count,complete_101_kl,theta_kl_count,theta_kl_mean,theta_kl_sd,theta_kl_min,theta_kl_max,theta_kl_q05,theta_kl_q25,theta_kl_median,theta_kl_q75,theta_kl_q95
gaussian_npe,1000,6907,N=n log(n),1,101,1,101,5.988820540888527,0.7993666579583136,4.611794066989649,9.40612874897999,4.95851278910831,5.417955253482062,5.8311338685300464,6.49717588365822,7.504848707599915
gaussian_npe,1000,31622,N=n^(3/2),1,101,1,101,3.9672208331597565,0.47806238400478795,3.1326266571405914,6.438037619014613,3.237105579859188,3.6533611006481657,3.936997572649001,4.231682296371486,4.639342431613268
gaussian_npe,1000,1000000,N=n^2,1,101,1,101,2.578592004545696,0.6024793162700235,1.7065473366556305,4.803427043186789,1.8933830375560055,2.079213414368661,2.4505247839272903,2.891684132712361,3.592328298818525
gaussian_npe,5000,5000,N=n,1,101,1,101,7.790082074446442,0.9721110333700894,5.714092670021746,10.708711980130428,6.4026098782163965,7.145400110906952,7.745338137881621,8.229488367570516,9.524733582713608
gaussian_npe,5000,42585,N=n log(n),1,101,1,101,4.546517049906206,0.6734127418065022,3.135963585377632,6.6135947725232835,3.6900303974496027,4.1408855810510445,4.403896234128931,4.7941144501484,6.054097189114383
gaussian_npe,5000,353553,N=n^(3/2),1,101,1,101,3.149914334553822,0.6139849207486417,2.129825933509126,4.753582485461769,2.4235179174185464,2.727654841697027,2.951798095172825,3.4986925686381767,4.492153310879485
gaussian_npe,5000,25000000,N=n^2,1,101,1,101,1.6705098554900855,0.8085300897242295,0.5654482238601376,4.01665366118576,0.7956478141598023,1.0144209266243815,1.3404130351570795,2.2173523889222264,3.3193806052496706
gaussian_npe,10000,10000,N=n,0,101,1,101,6.767688033427155,0.7808903371650217,5.484818621764844,9.909279217311795,5.879375190178651,6.190084387731671,6.658120695439203,7.21993566705522,8.188536594513321
gaussian_npe,10000,92103,N=n log(n),0,101,1,101,4.305106992743385,0.6327246009737322,3.207423545953007,6.748409106638126,3.4205810255743936,3.8584913903271154,4.216870763697565,4.629985927940682,5.327418133122283
gaussian_npe,10000,1000000,N=n^(3/2),0,101,1,101,3.0207911123411098,0.4542600230713403,2.2907091770006582,4.555357502855466,2.4264562002542034,2.6960527111900547,2.8800364173241104,3.3447482197904037,3.8406666644036376
gaussian_npe,20000,20000,N=n,0,101,1,101,6.283890814664524,0.7630237151209418,4.951705606610452,8.582018753204181,5.33492711001356,5.80328723825726,6.134645481605245,6.57468905495515,7.7751112491981464
gaussian_npe,20000,198069,N=n log(n),0,101,1,101,4.221175276989181,0.7925515363925222,2.9618529180543325,7.455346470954616,3.326684213588589,3.6404983795970765,4.09519755803527,4.674230075372969,5.486356896031742
gaussian_npe,20000,2828427,N=n^(3/2),0,101,1,101,3.048904940704595,0.5258577065784757,2.2538617920940913,4.5231463638538925,2.3986015112309276,2.645244732187705,2.9567649990232456,3.406246414614253,4.033868730333347
