method,n,N,N_label,seed,param,replicate_count,seed_mean_bias,seed_mean_abs_bias,seed_rmse_bias,replicate_bias_q05,replicate_bias_q25,replicate_bias_median,replicate_bias_q75,replicate_bias_q95
flow_npe,1000,1000000,N=n^2,3,g,100,0.0501925253868103,0.18525559663772584,0.23869727520067288,-0.29110148549079895,-0.08678165078163147,0.03657412528991699,0.20187586545944214,0.43839652538299545
flow_npe,1000,1000000,N=n^2,4,g,100,0.12757416367530822,0.19267731547355652,0.254353830074384,-0.16437051296234131,-0.025967717170715332,0.07369804382324219,0.2801022529602051,0.4904276132583617
flow_npe,1000,1000000,N=n^2,5,g,100,-0.009888168573379517,0.1487666857242584,0.18287098961205586,-0.3296006560325622,-0.13833937048912048,-0.021454334259033203,0.1106840968132019,0.3081989884376526
flow_npe,1000,1000000,N=n^2,6,g,100,-0.12879036068916322,0.1797607147693634,0.21717712929661878,-0.40823161602020264,-0.22607076168060303,-0.14630556106567383,-0.001967132091522217,0.19377747774124146
flow_npe,1000,1000000,N=n^2,7,g,100,0.038832292556762696,0.17594004154205323,0.2252138168982311,-0.2936910569667816,-0.10528171062469482,0.027591943740844727,0.1806802749633789,0.36651600599288925
flow_npe,1000,1000000,N=n^2,8,g,100,-0.029236832857131956,0.18784013390541077,0.23990541380069683,-0.36251252293586733,-0.17528504133224487,-0.05662161111831665,0.0921970009803772,0.38842010498046875
flow_npe,1000,1000000,N=n^2,9,g,100,-0.0018495893478393554,0.17592017650604247,0.21675898821304923,-0.34826831221580506,-0.1373462975025177,-0.01032179594039917,0.1594228744506836,0.3533177971839905
flow_npe,1000,1000000,N=n^2,10,g,100,0.16082751989364624,0.24421743154525757,0.30265182549972564,-0.2970737636089325,0.018113315105438232,0.16154634952545166,0.32661330699920654,0.5552913188934325
flow_npe,1000,1000000,N=n^2,11,g,100,0.01861211895942688,0.15679232001304627,0.19386290497543718,-0.30447086691856384,-0.10157501697540283,0.0073670148849487305,0.16060632467269897,0.3318014740943908
flow_npe,1000,1000000,N=n^2,12,g,100,0.028932676315307618,0.17274850368499756,0.21302836284383567,-0.2987168252468109,-0.1262611746788025,0.02605295181274414,0.18132668733596802,0.36942483186721803
flow_npe,1000,1000000,N=n^2,13,g,100,0.06631235718727112,0.1765560281276703,0.23293571590675555,-0.2523967087268829,-0.07041478157043457,0.04188573360443115,0.19193178415298462,0.4619264125823974
flow_npe,1000,1000000,N=n^2,14,g,100,0.08229028582572936,0.19424060940742494,0.2573318998585995,-0.254410994052887,-0.08576327562332153,0.04576253890991211,0.22626304626464844,0.4681334376335144
flow_npe,1000,1000000,N=n^2,15,g,100,0.008626167774200439,0.18842962980270386,0.2329233792769688,-0.33491111397743223,-0.17202228307724,-0.004833817481994629,0.157198965549469,0.4171001195907592
flow_npe,1000,1000000,N=n^2,16,g,100,0.1051547348499298,0.17098235487937927,0.2160489676999425,-0.1980496823787689,-0.021225780248641968,0.1021735668182373,0.2187720537185669,0.45382277965545637
flow_npe,1000,1000000,N=n^2,17,g,100,0.015548020601272583,0.18025708556175232,0.23177367642713642,-0.38618927597999575,-0.13193145394325256,0.037277817726135254,0.1687694787979126,0.33709220886230457
flow_npe,1000,1000000,N=n^2,18,g,100,0.01162930130958557,0.14216394782066344,0.1754227022403143,-0.28693629503250123,-0.09683239459991455,0.007663369178771973,0.13794952630996704,0.2922201991081237
flow_npe,1000,1000000,N=n^2,19,g,100,0.055362229347229,0.170003719329834,0.20543623011136414,-0.2705595135688782,-0.08736678957939148,0.0365978479385376,0.20200347900390625,0.3481285095214843
flow_npe,1000,1000000,N=n^2,20,g,100,0.006618782281875611,0.1722503983974457,0.20803199145604678,-0.2888441264629364,-0.148313969373703,-0.015624046325683594,0.13228565454483032,0.3725596189498901
flow_npe,1000,1000000,N=n^2,21,g,100,0.04344252586364746,0.15440512657165528,0.20762729069965827,-0.2467730462551117,-0.0973081886768341,0.024247288703918457,0.16307848691940308,0.35916028022766094
flow_npe,1000,1000000,N=n^2,22,g,100,0.05373566389083862,0.21493809461593627,0.2977238505413084,-0.3659751951694489,-0.11605831980705261,0.015707731246948242,0.14138615131378174,0.6905933618545531
flow_npe,1000,1000000,N=n^2,23,g,100,0.10430713772773742,0.1805311620235443,0.2296161152102061,-0.1917160928249359,-0.005465984344482422,0.1208418607711792,0.2173634171485901,0.40569559335708616
flow_npe,1000,1000000,N=n^2,24,g,100,0.2535831344127655,0.2752328884601593,0.3220790961867103,-0.05884878039360046,0.12982338666915894,0.24434363842010498,0.3935163617134094,0.5891134738922119
flow_npe,1000,1000000,N=n^2,25,g,100,0.28462069511413574,0.2930172491073608,0.3394310242828431,-0.0194070816040039,0.16828268766403198,0.26235008239746094,0.4001185894012451,0.5594258189201353
flow_npe,1000,1000000,N=n^2,26,g,100,0.19992375016212463,0.24979836821556092,0.30193700511494576,-0.22241776585578918,0.060411810874938965,0.19657719135284424,0.3476499319076538,0.5193572282791137
flow_npe,1000,1000000,N=n^2,27,g,100,0.0678622543811798,0.18872156500816345,0.24479299784801187,-0.3366380214691162,-0.056631892919540405,0.05509912967681885,0.20511621236801147,0.4205024957656859
flow_npe,1000,1000000,N=n^2,28,g,100,0.04671211004257202,0.19571170091629028,0.23967866639602978,-0.32136365175247195,-0.12431475520133972,0.058565378189086914,0.19800174236297607,0.49570322036743164
flow_npe,1000,1000000,N=n^2,29,g,100,0.15199462532997132,0.22800588011741638,0.2871378063619745,-0.2356222987174988,-0.0305483341217041,0.14954698085784912,0.2930774688720703,0.5911277532577515
flow_npe,1000,1000000,N=n^2,30,g,100,-0.00982641100883484,0.14517645716667174,0.18199412276527838,-0.3644201934337616,-0.13551363348960876,0.00558924674987793,0.11671614646911621,0.25518550872802737
flow_npe,1000,1000000,N=n^2,31,g,100,0.10074730515480042,0.18467560172080993,0.24267078414316598,-0.19279706478118896,-0.04330599308013916,0.08542954921722412,0.2513594627380371,0.43315308094024646
flow_npe,1000,1000000,N=n^2,32,g,100,-0.040561485290527347,0.15423574447631835,0.19165189297509558,-0.3553368628025055,-0.16329166293144226,-0.04314827919006348,0.08899438381195068,0.2902742028236389
flow_npe,1000,1000000,N=n^2,33,g,100,0.136015408039093,0.20395510911941528,0.26547135998134996,-0.17971949577331542,-0.01560366153717041,0.11658060550689697,0.2881539463996887,0.5079261779785156
flow_npe,1000,1000000,N=n^2,34,g,100,0.12381810426712037,0.17092979192733765,0.22230902274387976,-0.16043595671653746,0.010961592197418213,0.09645676612854004,0.25711339712142944,0.46004376411437986
flow_npe,1000,1000000,N=n^2,35,g,100,0.05630716681480408,0.17550655007362365,0.20858959101859023,-0.2427334427833557,-0.11751827597618103,0.06077587604522705,0.20569461584091187,0.3778982043266296
flow_npe,1000,1000000,N=n^2,36,g,100,-0.09617036819458008,0.19186407566070557,0.23709758810992984,-0.45692906379699705,-0.2554450035095215,-0.1033136248588562,0.045806944370269775,0.22277989387512195
flow_npe,1000,1000000,N=n^2,37,g,100,-0.034654299020767214,0.173558851480484,0.21982810579482087,-0.33886298537254333,-0.1648605763912201,-0.05981791019439697,0.10172194242477417,0.32171913385391226
