n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
5000,25000000,N=n^2,1,100,1.8654724388985064,2.4939858986880945
10000,10000,N=n,0,0,4.779864341176424,6.201949822625757
10000,10000,N=n,0,1,7.045704915654957,6.386721752593215
10000,10000,N=n,0,2,6.736379915108306,6.67513889435486
10000,10000,N=n,0,3,6.917903299155319,5.837806881929959
10000,10000,N=n,0,4,6.576652217883785,6.166035003559462
10000,10000,N=n,0,5,5.433364321005011,6.132726425950673
10000,10000,N=n,0,6,10.066191357021035,6.678049427075333
10000,10000,N=n,0,7,6.310774445903289,6.858087929110128
10000,10000,N=n,0,8,6.488772518475774,8.188536594513321
10000,10000,N=n,0,9,6.151596071737629,6.924589101449973
10000,10000,N=n,0,10,6.342233281150057,6.300275369216069
10000,10000,N=n,0,11,8.2369615549724,7.115349451150508
10000,10000,N=n,0,12,5.830815061387094,6.662375376354178
10000,10000,N=n,0,13,6.900039576585223,6.065769390059187
10000,10000,N=n,0,14,5.761733988444077,6.86725355638021
10000,10000,N=n,0,15,8.884302689364542,6.705307083638804
10000,10000,N=n,0,16,6.570943515658992,6.094626218257381
10000,10000,N=n,0,17,6.342753644725692,7.21993566705522
10000,10000,N=n,0,18,5.923755939387736,6.698750299845975
10000,10000,N=n,0,19,5.411957692939272,6.006165989732459
10000,10000,N=n,0,20,5.410591891032945,6.984950017246452
10000,10000,N=n,0,21,6.75753020052859,5.521153631802493
10000,10000,N=n,0,22,7.985965042591238,5.753275821820067
10000,10000,N=n,0,23,6.761791304591431,7.287124114625455
10000,10000,N=n,0,24,6.387762206118037,6.399370559367011
10000,10000,N=n,0,25,6.178814426211981,6.479571544152569
10000,10000,N=n,0,26,7.449472174373196,6.6654284805242705
10000,10000,N=n,0,27,5.515564866288681,6.218119611083178
10000,10000,N=n,0,28,6.626405145786051,6.477618696933954
10000,10000,N=n,0,29,6.113532957468651,6.648494440470931
10000,10000,N=n,0,30,5.923116711624531,6.3493010703603066
10000,10000,N=n,0,31,5.827533488993788,6.887856201467024
10000,10000,N=n,0,32,6.132953667759802,8.338376753822823
10000,10000,N=n,0,33,6.010966543821558,7.821593221831613
10000,10000,N=n,0,34,6.752451019919431,7.4527930565372404
10000,10000,N=n,0,35,5.102720558817965,6.3097003340119535
10000,10000,N=n,0,36,5.628184250115604,7.497386524870458
10000,10000,N=n,0,37,5.6330712142209896,6.499057418858173
