method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_median,seed_mean_bias_q75,seed_mean_bias_q95
flow_npe,100,10000,N=n^2,g,101,10100,2.671015002998975,0.3834546573013602,2.671015002998975,2.6981295009460573,2.6710310450992965,1.9914125251770018,2.4325189089775083,2.6905872988700867,2.9457789039611817,3.222087016105652
flow_npe,100,10000,N=n^2,k,101,10100,1.7030309148118046,0.3702961469764718,1.7030309148118046,1.7424339060830178,1.7030309148118046,1.1096095108985902,1.4460599935054779,1.66951864361763,1.9487067544460297,2.3822646951675415
flow_npe,500,500,N=n,A,101,10100,-0.056793575900616025,0.24431319329219517,0.11789748432612657,0.2496466845598537,0.12642047395800599,-0.21894803047180175,-0.13005289554595947,-0.07822914123535156,-0.015543162822723389,0.07977907657623291
flow_npe,500,500,N=n,B,101,10100,0.2095392023985929,0.3801378408309181,0.27109263786585025,0.4324126674796663,0.274824692961013,-0.14806311428546906,-0.02371225118637085,0.1334916126728058,0.30668841004371644,0.7354818606376647
flow_npe,500,500,N=n,g,101,10100,3.03529261168867,0.4257136698818107,3.03529261168867,3.0647086304873987,3.03529261168867,2.2732974910736083,2.7748372554779053,3.009641795158386,3.288402752876282,3.7618077564239503
flow_npe,500,500,N=n,k,101,10100,2.805471961569079,0.43452094053169216,2.805471961569079,2.838593310838823,2.805471961569079,2.1040935420989992,2.5281159591674807,2.7576550436019898,3.0845684814453125,3.600412440299988
flow_npe,500,3107,N=n log(n),A,101,10100,-0.004488742516772583,0.194341971645843,0.048507918792195834,0.19342957948174452,0.06886072815054714,-0.06214250564575195,-0.04151416778564453,-0.02582888126373291,-0.00816065788269043,0.026603775024414064
flow_npe,500,3107,N=n log(n),B,101,10100,-0.12188900084188667,0.2212993830618507,0.16601357917384346,0.2516852402377151,0.18507645305430537,-0.2828568577766418,-0.19797390341758728,-0.14537457168102264,-0.07921490907669067,0.033839284777641296
flow_npe,500,3107,N=n log(n),g,101,10100,2.1240944680719087,0.49862606069481413,2.1240944680719087,2.18127109613689,2.1241929915281803,1.325189986228943,1.8373088455200195,2.151195583343506,2.4176757740974426,2.9384478235244753
flow_npe,500,3107,N=n log(n),k,101,10100,1.6682829807477426,0.43698804211366715,1.6682829807477426,1.7240173937928902,1.6682829807477426,1.0594140779972077,1.3746793246269227,1.623389321565628,1.9200289845466614,2.573705582618713
flow_npe,500,11180,N=n^(3/2),A,101,10100,0.007965757799620676,0.19552173686415017,0.035657335389958744,0.19471440730604392,0.06570503737666819,-0.04057634830474854,-0.02470839977264404,-0.00982748031616211,0.0010834431648254394,0.01589844226837158
flow_npe,500,11180,N=n^(3/2),B,101,10100,0.008966226937747243,0.33381080471928437,0.08239951811804629,0.33227516109138727,0.14561635288271574,-0.12247436344623566,-0.06279460787773132,-0.0252722430229187,0.017011885046958924,0.06683603405952454
flow_npe,500,11180,N=n^(3/2),g,101,10100,1.0802733073022104,0.42974221250972505,1.0802733073022104,1.161826273148156,1.1046464054537293,0.5317201125621795,0.7792659795284271,1.0218857026100159,1.393851499557495,1.7591172432899476
flow_npe,500,11180,N=n^(3/2),k,101,10100,0.6882223108056749,0.23843535252126372,0.6882223108056749,0.7279687363496622,0.6885423664733914,0.31088543713092803,0.5270187944173813,0.7062832355499268,0.8587202543020248,1.0585372352600098
flow_npe,500,250000,N=n^2,A,101,10100,0.012477399547501369,0.19918699868244516,0.029879222789613327,0.19859083463885616,0.06307687700384915,-0.023547351360321045,-0.013889658451080322,-0.0071534085273742675,-6.538867950439453e-05,0.01104090452194214
flow_npe,500,250000,N=n^2,B,101,10100,0.03975638626235545,0.420998318864721,0.061676220793535214,0.42079128717739067,0.13664810054963178,-0.04242404341697693,-0.01706522822380066,-0.00334178626537323,0.012761688232421875,0.047715439200401305
flow_npe,500,250000,N=n^2,g,101,10100,0.24746199227795737,0.2534941253586314,0.2630930744539393,0.35335602273304745,0.3821174152062671,-0.07570890307426453,0.12607983112335205,0.22643189668655395,0.35714253067970275,0.5315750205516815
flow_npe,500,250000,N=n^2,k,101,10100,0.12983487883416736,0.1420476066930434,0.13451606227619814,0.19192404976433738,0.20569506528353926,-0.013396961987018586,0.05477888196706772,0.11560608416795731,0.1804674255847931,0.2578104415535927
flow_npe,1000,1000,N=n,A,101,10100,-0.028447809691476353,0.2090235212687989,0.07219622050181472,0.20992267104914802,0.078522575586149,-0.10837014198303223,-0.07497551679611206,-0.042337734699249265,-0.02411153316497803,0.016098756790161133
flow_npe,1000,1000,N=n,B,101,10100,-0.16089103139273006,0.12226466894468596,0.1798400748720263,0.2017091143858724,0.18146366454587123,-0.31344439566135407,-0.2441711086034775,-0.17837977290153503,-0.10385419130325317,0.0259986686706543
flow_npe,1000,1000,N=n,g,101,10100,2.5685779076283524,0.4659830501269378,2.5685779076283524,2.6100924825687675,2.5685779076283524,1.7562906670570373,2.2478728008270266,2.6278278732299807,2.912372179031372,3.2946683168411255
flow_npe,1000,1000,N=n,k,101,10100,2.4611108515758326,0.39811918906173255,2.4611108515758326,2.4927888431465224,2.4611108515758326,1.8731318402290345,2.191910772323608,2.404121356010437,2.6854420256614686,3.174778888225555
flow_npe,1000,6907,N=n log(n),A,101,10100,0.004013432842670101,0.2008533553066458,0.038222341584687174,0.19989685225668472,0.055341321831882596,-0.046815919876098636,-0.026988670825958253,-0.01338843822479248,-0.005014214515686035,0.011934659481048583
flow_npe,1000,6907,N=n log(n),B,101,10100,-0.047733423757080985,0.31455493083191083,0.11307830946280224,0.31661274883433344,0.1377927841526447,-0.18388543844223024,-0.11605051457881928,-0.0765857982635498,-0.034227234721183775,0.021561787128448487
flow_npe,1000,6907,N=n log(n),g,101,10100,0.9318673088644991,0.4018703359572348,0.935434108099135,1.0140401573209286,0.9496427808303645,0.2912471044063568,0.6736085832118988,0.9295963954925537,1.1868518662452698,1.569756338596344
flow_npe,1000,6907,N=n log(n),k,101,10100,0.7650464048745608,0.29471824019813364,0.7650464048745608,0.819325853486376,0.7650724641019754,0.2756772857904434,0.5217586666345596,0.754143476486206,0.9799379658699036,1.204846670627594
flow_npe,1000,31622,N=n^(3/2),A,101,10100,0.012770271867808733,0.2007797872274928,0.03012436786500534,0.20019108100015517,0.0520665953891112,-0.02160987615585327,-0.01439429521560669,-0.006456913948059082,-0.0012954163551330566,0.013212757110595703
flow_npe,1000,31622,N=n^(3/2),B,101,10100,0.01965175881834313,0.392379758528943,0.06652986406689823,0.3909267086409473,0.11374755898914715,-0.06274417340755463,-0.04236181199550629,-0.017324298620224,0.00043237924575805663,0.03015794575214386
flow_npe,1000,31622,N=n^(3/2),g,101,10100,0.200049751878965,0.2516040890244723,0.2368884842584629,0.32046488489139313,0.39811216839469304,-0.16123714089393615,0.05115432262420654,0.16590449452400208,0.31504668593406676,0.5373756337165833
flow_npe,1000,31622,N=n^(3/2),k,101,10100,0.1838724072911952,0.18742375224192043,0.1915393839614226,0.26189487666787553,0.21909413694745244,-0.027032487392425537,0.09080635726451874,0.16442615985870362,0.25151525378227235,0.38843374341726306
flow_npe,1000,1000000,N=n^2,A,101,10100,0.01914024926648281,0.19890208339888402,0.025260160583080626,0.19883833777251853,0.05003095813316873,-0.014098050594329834,-0.004327952861785889,-0.0003397798538208008,0.004374303817749023,0.010338118076324463
flow_npe,1000,1000000,N=n^2,B,101,10100,nan,nan,nan,nan,nan,-0.032863984584808346,-0.011578536182641982,0.006018415689468384,0.01726305827498436,0.03659549871087075
flow_npe,1000,1000000,N=n^2,g,101,10100,nan,nan,nan,nan,nan,-0.09665410566329956,-0.0022215428948402405,0.05196409463882446,0.11287916749715805,0.2531244234442711
flow_npe,1000,1000000,N=n^2,k,101,10100,nan,nan,nan,nan,nan,-0.0533436172157526,0.0014648059755563735,0.04438919380307198,0.07149175599217415,0.1347685461938381
flow_npe,5000,5000,N=n,A,101,10100,0.010386661232107937,0.1984874359186877,0.03301864248691219,0.19777530949534983,0.038814070083127164,-0.02792340040206909,-0.018330578804016114,-0.009503874778747558,-0.00027541399002075197,0.011889634132385253
flow_npe,5000,5000,N=n,B,101,10100,-0.0655398231036592,0.125616645630504,0.0889089425070451,0.14113389736764637,0.0938990479943776,-0.1592165571451187,-0.11527296304702758,-0.07162654101848602,-0.03586017072200775,0.010572601556777955
flow_npe,5000,5000,N=n,g,101,10100,0.5036469713414069,0.4293602105507842,0.5218806586525229,0.6604431941776999,0.5392720365642321,-0.08125687122344971,0.22402395486831664,0.3996535515785217,0.7209167361259461,1.1878189492225646
flow_npe,5000,5000,N=n,k,101,10100,0.5402086106237799,0.3153399994523933,0.5412948594382494,0.624724027528093,0.5414022009355007,0.10432158410549164,0.347941632270813,0.48073526263237,0.7019476759433746,1.0004509150981904
flow_npe,5000,42585,N=n log(n),A,101,10100,0.01907049523721827,0.20035570653171492,0.02438481599977701,0.20027142415474966,0.03459811366430603,-0.010443377494812011,-0.004112200736999512,-0.0007866692543029786,0.0029685044288635253,0.009434423446655273
flow_npe,5000,42585,N=n log(n),B,101,10100,0.029985321535922517,0.3392402562344723,0.04824021482231595,0.338885859684026,0.06935375461483945,-0.03553357183933258,-0.014707929491996764,-0.0038257479667663575,0.008220022916793824,0.02843974769115448
flow_npe,5000,42585,N=n log(n),g,101,10100,0.01776860049455472,0.1615479791717138,0.10024413069876113,0.16172532015073068,0.18401959200896845,-0.16635031938552858,-0.06854158043861389,0.00960537075996399,0.07981087565422058,0.18472303748130797
flow_npe,5000,42585,N=n log(n),k,101,10100,0.011628197809257133,0.10036380200379331,0.08111274183976766,0.10054042035686642,0.1030271312978008,-0.13458378344774247,-0.05704312860965729,0.008504280745983124,0.08882190853357315,0.1540989974141121
flow_npe,5000,353553,N=n^(3/2),A,101,10100,0.01911616056272299,0.19997771100378453,0.02282806774177173,0.19990137857790302,0.03380160090946915,-0.005742857456207276,-0.0032260751724243163,-0.0012957048416137695,0.0017014193534851075,0.005598034858703613
flow_npe,5000,353553,N=n^(3/2),B,101,10100,0.02385317277790297,0.2415398988190129,0.032627225293971523,0.2415219611841638,0.05721595016446444,-0.01968197464942932,-0.006383302211761474,-0.00010918676853179931,0.006512122750282287,0.02044423043727875
flow_npe,5000,353553,N=n^(3/2),g,101,10100,nan,nan,nan,nan,nan,-0.09834996563196181,-0.02328184723854065,0.018357282280921934,0.06479964524507523,0.14094082367420194
flow_npe,5000,353553,N=n^(3/2),k,101,10100,0.03098293117957541,0.27072805777485565,0.06619495462663103,0.2711603645049988,0.10751539772099787,-0.062488493919372556,-0.03557187795639038,0.002941167950630188,0.043568732738494875,0.08573142409324647
flow_npe,5000,25000000,N=n^2,A,91,9100,0.06645366050384857,0.3617473331333206,0.06962129807734228,0.36584038540672287,0.07999660271864668,-0.005336984395980835,-0.0027182412147521975,0.00044168949127197264,0.0023706269264221194,0.00847340703010559
flow_npe,5000,25000000,N=n^2,B,91,9100,nan,nan,nan,nan,nan,-0.01542006579041481,-0.0052914957702159884,0.0011421838402748108,0.009856290519237518,0.023966572463512414
flow_npe,5000,25000000,N=n^2,g,91,9100,nan,nan,nan,nan,nan,-0.08752946692705153,-0.032562146782875064,0.0072529977560043335,0.05676963478326798,0.13376260745525356
