freq_err_nuts_A,nuts_covers95_A,sigma_nuts_A,freq_err_nuts_B,nuts_covers95_B,sigma_nuts_B,freq_err_nuts_g,nuts_covers95_g,sigma_nuts_g,freq_err_nuts_k,nuts_covers95_k,sigma_nuts_k,sigma_ratio_A_flow,centre_dev_A_flow,freq_err_A_flow,pit_A_flow,sigma_ratio_B_flow,centre_dev_B_flow,freq_err_B_flow,pit_B_flow,sigma_ratio_g_flow,centre_dev_g_flow,freq_err_g_flow,pit_g_flow,sigma_ratio_k_flow,centre_dev_k_flow,freq_err_k_flow,pit_k_flow,sigma_ratio_A_gnpe,centre_dev_A_gnpe,freq_err_A_gnpe,pit_A_gnpe,sigma_ratio_B_gnpe,centre_dev_B_gnpe,freq_err_B_gnpe,pit_B_gnpe,sigma_ratio_g_gnpe,centre_dev_g_gnpe,freq_err_g_gnpe,pit_g_gnpe,sigma_ratio_k_gnpe,centre_dev_k_gnpe,freq_err_k_gnpe,pit_k_gnpe,seed
2.445572334441152,0,0.04440030828118324,2.1386231087691217,0,0.0806015208363533,-2.421827195952634,0,0.13397830724716187,-2.72502601280676,0,0.0781281366944313,1.2136992,-1.8257366,0.6198356738873311,0.2567,1.374064,-1.0221516,1.116471545558655,0.2038,2.3402886,5.8845315,3.4627043624762712,0.0397,3.0238419,5.212639,2.487612983220488,0.1829,1.0255084,-0.14287832,2.3026940122331307,0.0123,1.2067364,-0.3917933,1.746829796176852,0.067,1.9629673,0.46724707,-1.9545801351820884,0.8397,3.5850737,1.7835287,-0.9414973859406013,0.7095,10
-0.7796909456216126,1,0.03922775760293007,0.41139037132556827,1,0.08880488574504852,0.6156696646359323,1,0.12337075173854828,-0.4082667863638206,1,0.07758249342441559,1.040516,0.58517087,-0.1945200819629708,0.5844,1.219285,0.6119275,1.023317859686774,0.1886,1.841798,-0.044759497,0.5709101682986341,0.3951,3.3917456,-1.013007,-1.4212738642839404,0.7093,1.0065218,-0.047595274,-0.8272862201678405,0.792,0.9684061,-0.9696095,-0.5582191407302006,0.7255,2.3031607,-2.2111337,-1.5954641417100612,0.7659,3.4628067,0.97076505,0.5624982593782778,0.519,11
-0.9616689603230515,1,0.03567221015691757,-0.7369752235925324,1,0.07912924140691757,1.23927256668053,1,0.1592593640089035,1.4319952240230522,1,0.07993500679731369,1.1894492,1.9188398,0.9571709013850287,0.2056,1.3004668,1.7594928,1.0225175784260452,0.2183,1.6168582,-2.4270902,-1.187817601797952,0.784,2.659796,-2.8210618,-1.3890666106176008,0.7216,1.0456805,-0.3060685,-1.26773747593645,0.8874,1.2200431,-0.3125195,-1.049494719998885,0.8079,1.9252229,1.1535172,2.3927898526485785,0.1021,3.4946482,3.4289985,4.860993811456099,0.0465,12
1.5275770354144445,1,0.045666053891181946,1.9482883717009327,0,0.08431670814752579,-1.2924329449804437,1,0.15831270813941956,-1.4679802614264257,1,0.08600418269634247,2.3903604,-1.6723112,-0.14473420159322742,0.5853,1.1556988,-0.73888046,1.2094079269955977,0.1444,1.5763837,0.6156549,-0.6767780609262677,0.7001,1.6536909,-2.5735776,-4.041557837170456,0.9753,0.9928126,-0.79296297,0.7346140455009256,0.2286,1.4131029,-0.18139267,1.76689570379322,0.101,1.9632777,2.3455396,1.0531065627051333,0.3075,3.513391,2.7845004,1.3165200966172024,0.4211,13
0.17354636277094065,1,0.034687161445617676,-1.1128584101542396,1,0.06913834810256958,-1.195655524498955,1,0.12674890458583832,-0.40345389519106095,1,0.07482559978961945,1.0636799,-0.21735051,-0.04380414946885836,0.5231,1.7991922,0.15933545,-0.9535229566127477,0.7919,2.1744523,-0.18706098,-1.3827165022234371,0.7669,3.5637755,1.7172843,1.3138303772547473,0.3522,1.0061904,-0.030229194,0.14331716939826858,0.4481,1.1951748,-0.57355714,-1.686415523441117,0.9154,2.5534449,1.5525529,0.3568973574457955,0.4676,4.3827043,3.0112343,2.6077804846039827,0.3089,14
0.302315903791946,1,0.0360858254134655,-0.9428560169322235,1,0.0656057819724083,-2.258017619368781,0,0.13634289801120758,-0.5808772671952358,1,0.07881876081228256,3.0211287,-1.0942228,-0.7919068538715137,0.8165,1.4263552,-0.53515255,-1.4780085853559706,0.8523,2.4733477,3.5232356,1.2652178726634642,0.2999,3.8294961,3.7865937,3.205716297810495,0.1941,1.1027557,-0.5850355,-0.2827195803737387,0.6017,1.3166584,0.82744396,-0.11541204155285943,0.5507,2.4747546,1.1322316,-1.1257860129880193,0.6948,3.8052013,-0.2905394,-0.8714166676513334,0.6991,15
0.4764023878885639,1,0.039454974234104156,0.3345031877742736,1,0.07458937913179398,-0.2520332740026745,1,0.17006507515907288,-0.3734657517267543,1,0.07820447534322739,1.2646791,0.4548719,0.9312742738865808,0.1744,1.7829585,-0.18313538,0.15136781072670785,0.4838,1.7250121,0.652255,0.4002217145304504,0.4229,2.8851259,1.8469691,1.4735033168905953,0.3088,1.1013103,0.114897825,0.5913002163889465,0.2906,1.1698042,0.80872804,1.1432312375208729,0.1659,1.9674757,-0.6156024,-0.8676356192138808,0.6892,3.8176305,-1.5650877,-1.9385533763060516,0.7954,16
1.3273851706319522,1,0.04106057807803154,0.8346288712253362,1,0.09023728221654892,0.4612380643785768,1,0.14844828844070435,1.3583072143606603,1,0.08415988087654114,1.3262224,-2.981787,-1.654401900179775,0.9657,1.2624265,-2.283019,-1.4483902537459823,0.8717,2.5112805,3.294628,3.755865875355193,0.0414,3.3458014,3.6853456,5.043652886024016,0.0409,0.9802125,-0.25895286,1.068432329004007,0.136,1.1314977,-0.5361898,0.2984390877288528,0.4121,2.1080391,0.5219957,0.983233817122249,0.3333,3.1913612,3.3733046,4.7316119304361255,0.0313,17
-0.417237354061785,1,0.0365150049328804,-0.20417312974030385,1,0.07798638939857483,0.9498225924688686,1,0.15460768342018127,0.4387281917921136,1,0.07306934893131256,1.1463186,0.44742897,0.030191629764040155,0.4896,1.5318676,0.3531007,0.1489275596924322,0.4458,1.841015,-0.7122332,0.23758942420957896,0.4676,3.073051,-3.563385,-3.1246567573503636,0.8893,1.1226172,0.26859713,-0.14864023606798749,0.5515,1.2332686,-0.17564733,-0.3798204593492253,0.6372,1.4989965,0.07396931,1.0237919045416983,0.2524,3.6665385,1.9245089,2.363237139400208,0.2831,18
0.2564024762287972,1,0.03614461421966553,-0.5328627266831276,1,0.07742837071418762,0.9633089151968629,1,0.16142122447490692,1.4049126528337095,1,0.0758141428232193,1.2241623,0.93865824,1.1950607348871878,0.1573,1.4258716,3.2755177,2.7426550144049515,0.0237,1.7873607,-0.15418957,0.8091193454690133,0.338,2.9797497,-2.4124532,-1.0075405858051445,0.6626,1.1111209,-0.21732634,0.039076130513220515,0.487,1.2300457,0.16573027,-0.36713246204386724,0.6354,1.6466323,-0.489453,0.4738559162247601,0.402,4.1846147,0.48147246,1.8863851003606469,0.3867,19
