n_obs,seed,cache_path,posterior_samples,fit_size,metric_samples,k_theta_star
500,34,res/gnk/nuts_cache_v2_n_obs_500_seed_34.pkl,10000,5000,2000,0.097766520961125
500,35,res/gnk/nuts_cache_v2_n_obs_500_seed_35.pkl,10000,5000,2000,0.047865329662119524
500,36,res/gnk/nuts_cache_v2_n_obs_500_seed_36.pkl,10000,5000,2000,0.018780830353545906
500,37,res/gnk/nuts_cache_v2_n_obs_500_seed_37.pkl,10000,5000,2000,0.1192013933318422
500,38,res/gnk/nuts_cache_v2_n_obs_500_seed_38.pkl,10000,5000,2000,0.13566856949457926
500,39,res/gnk/nuts_cache_v2_n_obs_500_seed_39.pkl,10000,5000,2000,0.06938231712692523
500,40,res/gnk/nuts_cache_v2_n_obs_500_seed_40.pkl,10000,5000,2000,0.08646901475016522
500,41,res/gnk/nuts_cache_v2_n_obs_500_seed_41.pkl,10000,5000,2000,0.1633339232341059
500,42,res/gnk/nuts_cache_v2_n_obs_500_seed_42.pkl,10000,5000,2000,0.12993293692348012
500,43,res/gnk/nuts_cache_v2_n_obs_500_seed_43.pkl,10000,5000,2000,0.0769489184735497
500,44,res/gnk/nuts_cache_v2_n_obs_500_seed_44.pkl,10000,5000,2000,0.005377614854396071
500,45,res/gnk/nuts_cache_v2_n_obs_500_seed_45.pkl,10000,5000,2000,0.13788117316673387
500,46,res/gnk/nuts_cache_v2_n_obs_500_seed_46.pkl,10000,5000,2000,0.09763614864135804
500,47,res/gnk/nuts_cache_v2_n_obs_500_seed_47.pkl,10000,5000,2000,0.1881851539202575
500,48,res/gnk/nuts_cache_v2_n_obs_500_seed_48.pkl,10000,5000,2000,0.12637975146737648
500,49,res/gnk/nuts_cache_v2_n_obs_500_seed_49.pkl,10000,5000,2000,0.0852605882612217
500,50,res/gnk/nuts_cache_v2_n_obs_500_seed_50.pkl,10000,5000,2000,0.12046806980944513
500,51,res/gnk/nuts_cache_v2_n_obs_500_seed_51.pkl,10000,5000,2000,0.12020577199586535
500,52,res/gnk/nuts_cache_v2_n_obs_500_seed_52.pkl,10000,5000,2000,0.16015746114884738
500,53,res/gnk/nuts_cache_v2_n_obs_500_seed_53.pkl,10000,5000,2000,0.10604762236213161
500,54,res/gnk/nuts_cache_v2_n_obs_500_seed_54.pkl,10000,5000,2000,0.09239475399334868
500,55,res/gnk/nuts_cache_v2_n_obs_500_seed_55.pkl,10000,5000,2000,-0.027920277591234475
500,56,res/gnk/nuts_cache_v2_n_obs_500_seed_56.pkl,10000,5000,2000,0.10744315113904968
500,57,res/gnk/nuts_cache_v2_n_obs_500_seed_57.pkl,10000,5000,2000,0.04408448263330027
500,58,res/gnk/nuts_cache_v2_n_obs_500_seed_58.pkl,10000,5000,2000,0.09518242890891537
500,59,res/gnk/nuts_cache_v2_n_obs_500_seed_59.pkl,10000,5000,2000,0.02456931796704992
500,60,res/gnk/nuts_cache_v2_n_obs_500_seed_60.pkl,10000,5000,2000,-0.01046415827774318
500,61,res/gnk/nuts_cache_v2_n_obs_500_seed_61.pkl,10000,5000,2000,0.10266820247615588
500,62,res/gnk/nuts_cache_v2_n_obs_500_seed_62.pkl,10000,5000,2000,0.08873766087070957
500,63,res/gnk/nuts_cache_v2_n_obs_500_seed_63.pkl,10000,5000,2000,0.16932233347844586
500,64,res/gnk/nuts_cache_v2_n_obs_500_seed_64.pkl,10000,5000,2000,0.09638261605890326
500,65,res/gnk/nuts_cache_v2_n_obs_500_seed_65.pkl,10000,5000,2000,0.06919855709680311
500,66,res/gnk/nuts_cache_v2_n_obs_500_seed_66.pkl,10000,5000,2000,0.08321061998749026
500,67,res/gnk/nuts_cache_v2_n_obs_500_seed_67.pkl,10000,5000,2000,0.037795122136001544
500,68,res/gnk/nuts_cache_v2_n_obs_500_seed_68.pkl,10000,5000,2000,0.06627442937405627
500,69,res/gnk/nuts_cache_v2_n_obs_500_seed_69.pkl,10000,5000,2000,0.1306644015992567
500,70,res/gnk/nuts_cache_v2_n_obs_500_seed_70.pkl,10000,5000,2000,0.07717823537374259
500,71,res/gnk/nuts_cache_v2_n_obs_500_seed_71.pkl,10000,5000,2000,0.11913230778854882
500,72,res/gnk/nuts_cache_v2_n_obs_500_seed_72.pkl,10000,5000,2000,0.07742051698903069
500,73,res/gnk/nuts_cache_v2_n_obs_500_seed_73.pkl,10000,5000,2000,0.17642564247847825
500,74,res/gnk/nuts_cache_v2_n_obs_500_seed_74.pkl,10000,5000,2000,0.08525732736768611
500,75,res/gnk/nuts_cache_v2_n_obs_500_seed_75.pkl,10000,5000,2000,0.12698273924655662
500,76,res/gnk/nuts_cache_v2_n_obs_500_seed_76.pkl,10000,5000,2000,0.07958282607853219
500,77,res/gnk/nuts_cache_v2_n_obs_500_seed_77.pkl,10000,5000,2000,0.10635479328714906
500,78,res/gnk/nuts_cache_v2_n_obs_500_seed_78.pkl,10000,5000,2000,0.19365779673395553
500,79,res/gnk/nuts_cache_v2_n_obs_500_seed_79.pkl,10000,5000,2000,0.15992005430158646
500,80,res/gnk/nuts_cache_v2_n_obs_500_seed_80.pkl,10000,5000,2000,0.12900055513965883
500,81,res/gnk/nuts_cache_v2_n_obs_500_seed_81.pkl,10000,5000,2000,0.13519810356838483
500,82,res/gnk/nuts_cache_v2_n_obs_500_seed_82.pkl,10000,5000,2000,-0.0015579221296928053
500,83,res/gnk/nuts_cache_v2_n_obs_500_seed_83.pkl,10000,5000,2000,0.10830878694354648
500,84,res/gnk/nuts_cache_v2_n_obs_500_seed_84.pkl,10000,5000,2000,0.07733699003097717
500,85,res/gnk/nuts_cache_v2_n_obs_500_seed_85.pkl,10000,5000,2000,0.03766355156170188
500,86,res/gnk/nuts_cache_v2_n_obs_500_seed_86.pkl,10000,5000,2000,0.10738798899788803
500,87,res/gnk/nuts_cache_v2_n_obs_500_seed_87.pkl,10000,5000,2000,0.09567160559691194
500,88,res/gnk/nuts_cache_v2_n_obs_500_seed_88.pkl,10000,5000,2000,0.09304133227788305
500,89,res/gnk/nuts_cache_v2_n_obs_500_seed_89.pkl,10000,5000,2000,0.097770964530111
500,90,res/gnk/nuts_cache_v2_n_obs_500_seed_90.pkl,10000,5000,2000,0.18440127701674638
500,91,res/gnk/nuts_cache_v2_n_obs_500_seed_91.pkl,10000,5000,2000,0.09953288240741648
500,92,res/gnk/nuts_cache_v2_n_obs_500_seed_92.pkl,10000,5000,2000,0.07195558771460672
500,93,res/gnk/nuts_cache_v2_n_obs_500_seed_93.pkl,10000,5000,2000,0.06929046895098313
500,94,res/gnk/nuts_cache_v2_n_obs_500_seed_94.pkl,10000,5000,2000,0.16633953456523545
500,95,res/gnk/nuts_cache_v2_n_obs_500_seed_95.pkl,10000,5000,2000,0.10123608635004981
500,96,res/gnk/nuts_cache_v2_n_obs_500_seed_96.pkl,10000,5000,2000,0.14325651512756726
500,97,res/gnk/nuts_cache_v2_n_obs_500_seed_97.pkl,10000,5000,2000,0.08078403194500522
500,98,res/gnk/nuts_cache_v2_n_obs_500_seed_98.pkl,10000,5000,2000,0.09329454081228271
500,99,res/gnk/nuts_cache_v2_n_obs_500_seed_99.pkl,10000,5000,2000,0.03927762988458511
500,100,res/gnk/nuts_cache_v2_n_obs_500_seed_100.pkl,10000,5000,2000,0.08642394960053933
