n_obs,n_sims,budget_label,delta0,rows,complete_rows,shape_ok_rows,finite_kl_rows,infinite_kl_rows,nan_kl_rows,finite_kl_fraction,infinite_kl_fraction,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,finite_mmd_rows,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
1000,31622,N=n^(3/2),0.1,100,0,0,100,0,0,1.0,0.0,10.434045252312211,12.236352601599418,12.378229980139498,12.48815348041547,12.697629114145357,0,,,,,
1000,31622,N=n^(3/2),0.25,100,0,0,100,0,0,1.0,0.0,11.970142566249292,12.646511106318925,12.780687962320012,12.892772788883427,13.136850372635921,0,,,,,
1000,31622,N=n^(3/2),0.5,100,0,0,100,0,0,1.0,0.0,3.656298643731314,6.311871886303331,6.81777565734912,7.147571161347758,7.6909365270519,0,,,,,
1000,31622,N=n^(3/2),0.75,100,0,0,100,0,0,1.0,0.0,0.18898296353519134,0.875376069424683,1.034762020628306,1.2697580695364075,2.2124000885220902,0,,,,,
1000,31622,N=n^(3/2),0.99,100,0,0,100,0,0,1.0,0.0,-0.01497624174100988,0.018863162995626823,0.041539363898368,0.06712912224873227,0.16273928563732892,0,,,,,
1000,1000000,N=n^2,0.01,80,0,0,80,0,0,1.0,0.0,9.281575404240865,11.09296284011609,11.566276178528511,11.974347870493036,12.85184120500905,0,,,,,
1000,1000000,N=n^2,0.1,80,0,0,80,0,0,1.0,0.0,8.786443475413403,10.383852151083715,10.994136412718602,11.488639581707291,12.501058822960601,0,,,,,
1000,1000000,N=n^2,0.25,80,0,0,80,0,0,1.0,0.0,9.039317169224555,10.769817733362043,11.627165687385837,12.084697383147322,12.851789369581121,0,,,,,
1000,1000000,N=n^2,0.5,80,0,0,80,0,0,1.0,0.0,3.998578547231711,5.565263975634615,6.070722489003597,6.452924931651007,7.501672996846857,0,,,,,
1000,1000000,N=n^2,0.75,80,0,0,80,0,0,1.0,0.0,0.10143390331924532,0.3779638892076911,0.48374790997780104,0.5897976008178247,1.1534935511002176,0,,,,,
1000,1000000,N=n^2,0.99,80,0,0,80,0,0,1.0,0.0,-0.034302091138775546,0.010277742351421287,0.021045209978177708,0.04123487234980476,0.08263530628002486,0,,,,,
5000,5000,N=n,0.01,101,0,0,101,0,0,1.0,0.0,13.835430146647314,14.434761451747908,14.536178378335473,14.675100330879964,15.167873604501985,0,,,,,
5000,5000,N=n,0.1,101,0,0,101,0,0,1.0,0.0,15.17495270906372,15.66253093728528,15.753236461264729,15.838868510029261,16.096279795680516,0,,,,,
5000,5000,N=n,0.25,101,0,0,101,0,0,1.0,0.0,13.934800541278495,14.642407633568517,14.709745092081938,14.782632320490874,14.953897569093233,0,,,,,
5000,5000,N=n,0.5,101,0,0,101,0,0,1.0,0.0,8.23814157772882,10.153534745023173,10.325490366873428,10.59484588732235,10.999377018954528,0,,,,,
5000,5000,N=n,0.75,101,0,0,101,0,0,1.0,0.0,1.0651648509972926,3.0634885382160686,4.028783942020504,5.83730231315465,8.691323384673423,0,,,,,
5000,5000,N=n,0.99,101,0,0,101,0,0,1.0,0.0,0.027302193815554265,0.0885100719237603,0.12990443994457077,0.21530146980783874,0.7228274695602299,0,,,,,
5000,42585,N=n log(n),0.01,99,0,0,99,0,0,1.0,0.0,13.633147836055246,14.461889522802974,14.591065713731277,14.712902466933006,15.024351830497762,0,,,,,
5000,42585,N=n log(n),0.1,99,0,0,99,0,0,1.0,0.0,14.574335811692345,15.599861570879689,15.755901336629389,15.853030321585718,16.053057843023595,0,,,,,
5000,42585,N=n log(n),0.25,99,0,0,99,0,0,1.0,0.0,13.46062451289277,14.62254194172922,14.70484488355631,14.801827731774408,14.961990936304428,0,,,,,
5000,42585,N=n log(n),0.5,99,0,0,99,0,0,1.0,0.0,9.480803928145884,10.25724678791241,10.429744915154899,10.683152970490688,11.076735093543713,0,,,,,
5000,42585,N=n log(n),0.75,99,0,0,99,0,0,1.0,0.0,0.3985572729514725,1.8462825249933816,2.633857239528019,3.699184012553831,8.175233261917878,0,,,,,
5000,42585,N=n log(n),0.99,99,0,0,99,0,0,1.0,0.0,-0.022370157673370326,0.022247014631682535,0.05014695914634039,0.07415604880092141,0.21285820150655393,0,,,,,
5000,353553,N=n^(3/2),0.01,95,0,0,95,0,0,1.0,0.0,10.826241175870681,13.484516319238978,14.103556164508904,14.416491581303347,14.967650820236823,0,,,,,
5000,353553,N=n^(3/2),0.1,95,0,0,95,0,0,1.0,0.0,12.482332485744505,14.437466910422035,14.96708136600828,15.400400122439503,16.063013239521055,0,,,,,
5000,353553,N=n^(3/2),0.25,95,0,0,95,0,0,1.0,0.0,11.031249878178615,13.708395890761206,14.12199660916649,14.468658826814927,14.822214535686353,0,,,,,
5000,353553,N=n^(3/2),0.5,95,0,0,95,0,0,1.0,0.0,8.530481056886682,9.829819427395215,10.076157054943907,10.320762940860142,10.957003750735414,0,,,,,
5000,353553,N=n^(3/2),0.75,95,0,0,95,0,0,1.0,0.0,0.20726600379621501,0.7823941516956214,1.095821285261989,1.8013119977904644,5.3371310694787715,0,,,,,
5000,353553,N=n^(3/2),0.99,95,0,0,95,0,0,1.0,0.0,-0.01780817358390179,0.012103118316603066,0.023925038783907705,0.04456729673316899,0.11673474425712205,0,,,,,
5000,25000000,N=n^2,0.01,0,0,0,0,0,0,,,,,,,,0,,,,,
5000,25000000,N=n^2,0.1,0,0,0,0,0,0,,,,,,,,0,,,,,
5000,25000000,N=n^2,0.25,0,0,0,0,0,0,,,,,,,,0,,,,,
5000,25000000,N=n^2,0.5,0,0,0,0,0,0,,,,,,,,0,,,,,
5000,25000000,N=n^2,0.75,0,0,0,0,0,0,,,,,,,,0,,,,,
5000,25000000,N=n^2,0.99,0,0,0,0,0,0,,,,,,,,0,,,,,
