delta0,seed,n_obs,n_sims,kl
0.99,71,1000,31622,0.014031330648779844
0.99,72,1000,31622,0.02023521728787817
0.99,73,1000,31622,-0.03419333601866424
0.99,74,1000,31622,0.04367752561486686
0.99,75,1000,31622,0.07239209232512508
0.99,76,1000,31622,0.014729699743223605
0.99,77,1000,31622,0.08772399630820357
0.99,78,1000,31622,0.04718185922007577
0.99,79,1000,31622,-0.04111033336964828
0.99,80,1000,31622,0.025978733422672626
0.99,81,1000,31622,-0.0025667448738475973
0.99,82,1000,31622,0.06735232705678841
0.99,83,1000,31622,0.022400321009026107
0.99,84,1000,31622,0.020525067401613598
0.99,85,1000,31622,-0.007737523680256349
0.99,86,1000,31622,0.011042503965971109
0.99,87,1000,31622,0.026848417019784857
0.99,88,1000,31622,0.0681657227267977
0.99,89,1000,31622,0.1011383566481993
0.99,90,1000,31622,0.08942663194316133
0.99,91,1000,31622,-0.04331285959720316
0.99,92,1000,31622,0.12673868348729087
0.99,93,1000,31622,0.1178481167480278
0.99,94,1000,31622,0.0013209418819160592
0.99,95,1000,31622,0.15130481094218207
0.99,96,1000,31622,0.0805407058167503
0.99,97,1000,31622,-0.0031268843922507127
0.99,98,1000,31622,0.0810678373426073
0.99,99,1000,31622,0.10405766518979226
0.99,100,1000,31622,0.10625551709877935
0.99,0,1000,1000000,0.008409343685142349
0.99,1,1000,1000000,0.028862460331918093
0.99,2,1000,1000000,0.04514845936670302
0.99,3,1000,1000000,inf
0.99,4,1000,1000000,-0.041258889048776975
0.99,5,1000,1000000,-0.005095929185707613
0.99,6,1000,1000000,0.00808851796895111
0.99,7,1000,1000000,0.04342722301474433
0.99,8,1000,1000000,-0.004219614641222457
0.99,9,1000,1000000,0.01891106841311991
0.99,10,1000,1000000,21.90706347330353
0.99,11,1000,1000000,-0.03495460401898601
0.99,12,1000,1000000,0.030739292378048667
0.99,13,1000,1000000,0.09962470803031409
0.99,14,1000,1000000,0.09664546160283731
0.99,15,1000,1000000,22.287989630949514
0.99,16,1000,1000000,inf
0.99,17,1000,1000000,22.11817235535949
0.99,18,1000,1000000,-4.068255816891257e-05
0.99,19,1000,1000000,0.04016273403985676
0.99,20,1000,1000000,0.06496682707794661
0.99,21,1000,1000000,inf
0.99,22,1000,1000000,inf
0.99,23,1000,1000000,0.011211180705822091
0.99,24,1000,1000000,0.018559080402408907
0.99,25,1000,1000000,0.03907613499042127
0.99,26,1000,1000000,0.03435758468232471
0.99,27,1000,1000000,0.05539552861094403
0.99,28,1000,1000000,0.07447492081791345
0.99,29,1000,1000000,0.034709954997810835
0.99,30,1000,1000000,-0.04499985457225049
0.99,31,1000,1000000,20.507501959436347
0.99,32,1000,1000000,0.015880427458054857
0.99,33,1000,1000000,-0.007131770296943606
0.99,34,1000,1000000,-0.007361527228106866
0.99,35,1000,1000000,0.06782513856373848
0.99,36,1000,1000000,inf
0.99,37,1000,1000000,0.04165111144718077
0.99,38,1000,1000000,20.56787139420513
0.99,39,1000,1000000,0.05016089475415701
0.99,40,1000,1000000,-0.003873656591486711
0.99,41,1000,1000000,0.04147365565104458
0.99,42,1000,1000000,0.05099885625558065
0.99,43,1000,1000000,-0.022674349125549
0.99,44,1000,1000000,0.08363242741106865
0.99,45,1000,1000000,-0.06273782265813942
0.99,46,1000,1000000,0.025038736121046443
0.99,47,1000,1000000,0.057383484197988555
0.99,48,1000,1000000,-0.04563801719824451
0.99,49,1000,1000000,inf
0.99,50,1000,1000000,-0.013028137412449405
0.99,51,1000,1000000,0.0320905273179318
0.99,52,1000,1000000,-0.05398030618580048
0.99,53,1000,1000000,0.01429704967543918
0.99,54,1000,1000000,0.1106514370804558
0.99,55,1000,1000000,21.978087622246385
0.99,56,1000,1000000,-0.01269318319009549
0.99,57,1000,1000000,-0.06687259358925535
0.99,58,1000,1000000,0.14831172827091316
0.99,59,1000,1000000,-0.005574886566207575
0.99,60,1000,1000000,0.0407291122984956
0.99,61,1000,1000000,inf
0.99,62,1000,1000000,-0.0076109514982807235
0.99,63,1000,1000000,-0.011507863548089664
0.99,64,1000,1000000,0.04182764573676208
0.99,65,1000,1000000,0.009023990802719943
0.99,66,1000,1000000,0.006533109878343829
0.99,67,1000,1000000,0.07596875794830374
0.99,68,1000,1000000,-0.11448453493013923
0.99,69,1000,1000000,0.005029250602282221
0.99,70,1000,1000000,inf
0.99,71,1000,1000000,-0.1014940063857326
0.99,72,1000,1000000,inf
0.99,73,1000,1000000,-0.024152142771644496
0.99,74,1000,1000000,0.047709871438131005
0.99,75,1000,1000000,0.12375108089705626
0.99,76,1000,1000000,22.111221206680437
0.99,77,1000,1000000,0.06540110585239864
0.99,78,1000,1000000,-0.03377727737813245
0.99,79,1000,1000000,-0.039031015874859715
0.99,80,1000,1000000,0.055085397310657466
0.99,81,1000,1000000,0.08463218729431157
0.99,82,1000,1000000,0.00837649209072742
0.99,83,1000,1000000,20.746251966108215
0.99,84,1000,1000000,0.045522373471733824
0.99,85,1000,1000000,0.017103108254146123
0.99,86,1000,1000000,-0.013659970544963797
0.99,87,1000,1000000,-0.02802904426407221
0.99,88,1000,1000000,inf
0.99,89,1000,1000000,-0.08685926935346444
0.99,90,1000,1000000,inf
0.99,91,1000,1000000,inf
0.99,92,1000,1000000,0.05451698579046198
0.99,93,1000,1000000,20.462509057630953
0.99,94,1000,1000000,-0.02730729678511398
0.99,95,1000,1000000,inf
0.99,96,1000,1000000,0.013034023111621856
0.99,97,1000,1000000,0.04065364358514027
0.99,98,1000,1000000,0.0537959140092186
0.99,99,1000,1000000,20.67131190420724
0.99,100,1000,1000000,inf
