delta0,seed,n_obs,n_sims,kl
0.01,87,1000,6907,11.341508055912488
0.01,88,1000,6907,11.719641403635277
0.01,89,1000,6907,10.834287363203474
0.01,90,1000,6907,10.994598020791797
0.01,91,1000,6907,11.272627794030496
0.01,92,1000,6907,11.522841505555077
0.01,93,1000,6907,11.506615564253226
0.01,94,1000,6907,11.300088007743659
0.01,95,1000,6907,11.189688050479816
0.01,96,1000,6907,11.490607349587567
0.01,97,1000,6907,11.249931648692238
0.01,98,1000,6907,11.221995272265476
0.01,99,1000,6907,11.11324929214286
0.01,100,1000,6907,11.232810706120082
0.01,0,1000,31622,11.044506313358413
0.01,1,1000,31622,11.439707784415873
0.01,2,1000,31622,11.1298071296427
0.01,3,1000,31622,11.15039498869482
0.01,4,1000,31622,11.132103898769543
0.01,5,1000,31622,10.897796163904856
0.01,6,1000,31622,11.687060933397936
0.01,7,1000,31622,11.229605052570154
0.01,8,1000,31622,11.548923475030083
0.01,9,1000,31622,11.702379991316977
0.01,10,1000,31622,11.207342196196562
0.01,11,1000,31622,11.573731110377445
0.01,12,1000,31622,11.32379758361401
0.01,13,1000,31622,11.25890033011556
0.01,14,1000,31622,11.496115493020708
0.01,15,1000,31622,11.34699126187207
0.01,16,1000,31622,10.82821261514932
0.01,17,1000,31622,11.226924903217613
0.01,18,1000,31622,11.559243965880558
0.01,19,1000,31622,inf
0.01,20,1000,31622,11.526682829025107
0.01,21,1000,31622,11.370882415892577
0.01,22,1000,31622,11.345882604892795
0.01,23,1000,31622,11.424117640500967
0.01,24,1000,31622,11.941160214094143
0.01,25,1000,31622,11.526820549167878
0.01,26,1000,31622,11.363979437118633
0.01,27,1000,31622,10.992598520008785
0.01,28,1000,31622,11.112216597582897
0.01,29,1000,31622,11.664275800187056
0.01,30,1000,31622,11.495294541343373
0.01,31,1000,31622,11.182796993739537
0.01,32,1000,31622,11.130091533081355
0.01,33,1000,31622,11.221095878287512
0.01,34,1000,31622,11.132727343415784
0.01,35,1000,31622,11.366925664137707
0.01,36,1000,31622,11.001159334347907
0.01,37,1000,31622,11.825139105391923
0.01,38,1000,31622,10.758973810310282
0.01,39,1000,31622,11.285013946106304
0.01,40,1000,31622,10.722535802573583
0.01,41,1000,31622,11.019250028465814
0.01,42,1000,31622,10.274105282750321
0.01,43,1000,31622,11.400557723404793
0.01,44,1000,31622,11.31691118456214
0.01,45,1000,31622,11.567488740179542
0.01,46,1000,31622,10.944821332710113
0.01,47,1000,31622,11.542044853548552
0.01,48,1000,31622,11.102894193206295
0.01,49,1000,31622,11.317575712304158
0.01,50,1000,31622,11.197374243072096
0.01,51,1000,31622,11.256615553805569
0.01,52,1000,31622,11.670823908969796
0.01,53,1000,31622,11.879089163907434
0.01,54,1000,31622,10.938832133654305
0.01,55,1000,31622,11.61376984083792
0.01,56,1000,31622,11.354980769240756
0.01,57,1000,31622,11.214781789973658
0.01,58,1000,31622,10.783913079818596
0.01,59,1000,31622,11.03792656685266
0.01,60,1000,31622,11.84845579343119
0.01,61,1000,31622,11.406825371791962
0.01,62,1000,31622,11.37639628562677
0.01,63,1000,31622,10.957836680059847
0.01,64,1000,31622,11.140169346658165
0.01,65,1000,31622,11.356072443826088
0.01,66,1000,31622,11.537867151871664
0.01,67,1000,31622,10.91134988708905
0.01,68,1000,31622,11.114733900635565
0.01,69,1000,31622,11.109972910036022
0.01,70,1000,31622,11.605078962445901
0.01,71,1000,31622,11.213176818276423
0.01,72,1000,31622,11.132858909446776
0.01,73,1000,31622,11.16184608512539
0.01,74,1000,31622,11.13120154463839
0.01,75,1000,31622,11.587995989460312
0.01,76,1000,31622,11.403163651719838
0.01,77,1000,31622,11.378814743008613
0.01,78,1000,31622,11.654836133930079
0.01,79,1000,31622,11.079830568322155
0.01,80,1000,31622,11.376640554174294
0.01,81,1000,31622,11.212338850566088
0.01,82,1000,31622,11.337463788494908
0.01,83,1000,31622,10.875993359050169
0.01,84,1000,31622,11.305872839497868
0.01,85,1000,31622,11.349673699915842
0.01,86,1000,31622,11.223610535043615
0.01,87,1000,31622,11.754649683282977
0.01,88,1000,31622,11.391248092933504
0.01,89,1000,31622,11.068890023205169
0.01,90,1000,31622,10.970738300305825
0.01,91,1000,31622,11.206647147278229
0.01,92,1000,31622,11.22284955650906
0.01,93,1000,31622,10.97926545795236
0.01,94,1000,31622,11.267548221417258
0.01,95,1000,31622,10.771385683227694
0.01,96,1000,31622,11.56799878566408
0.01,97,1000,31622,11.574530672324078
0.01,98,1000,31622,10.805603751528725
0.01,99,1000,31622,11.238088592524022
0.01,100,1000,31622,11.490213146490078
0.01,0,1000,1000000,10.55440036852597
0.01,1,1000,1000000,10.64425791837906
0.01,2,1000,1000000,10.533480342209955
0.01,3,1000,1000000,19.434019813517548
0.01,4,1000,1000000,10.905760305003996
0.01,5,1000,1000000,10.324603475246496
0.01,6,1000,1000000,10.963320586136764
0.01,7,1000,1000000,10.509695661790502
0.01,8,1000,1000000,9.928606752822972
0.01,9,1000,1000000,10.893472011174909
0.01,10,1000,1000000,inf
0.01,11,1000,1000000,10.524313294655581
0.01,12,1000,1000000,10.697586808174165
0.01,13,1000,1000000,11.10365019604617
0.01,14,1000,1000000,11.006729287975542
0.01,15,1000,1000000,inf
0.01,16,1000,1000000,inf
0.01,17,1000,1000000,inf
0.01,18,1000,1000000,11.004131005599273
0.01,19,1000,1000000,11.260419844284272
0.01,20,1000,1000000,10.566472713938285
0.01,21,1000,1000000,inf
0.01,22,1000,1000000,inf
0.01,23,1000,1000000,10.368314042944803
0.01,24,1000,1000000,11.076838775831538
0.01,25,1000,1000000,11.041850612191565
0.01,26,1000,1000000,10.2546038204322
0.01,27,1000,1000000,10.592835846715952
0.01,28,1000,1000000,10.335565350711159
0.01,29,1000,1000000,11.096625799763496
0.01,30,1000,1000000,9.638335062304234
0.01,31,1000,1000000,19.396861259669446
0.01,32,1000,1000000,11.46832476773264
0.01,33,1000,1000000,10.877714688078042
0.01,34,1000,1000000,10.489558436016322
0.01,35,1000,1000000,11.165735075952954
0.01,36,1000,1000000,19.507349531118894
0.01,37,1000,1000000,11.219180796066517
0.01,38,1000,1000000,19.29746263207974
0.01,39,1000,1000000,10.543048359580784
0.01,40,1000,1000000,11.343178322509928
0.01,41,1000,1000000,10.743212886447145
0.01,42,1000,1000000,11.019910379709144
0.01,43,1000,1000000,11.204462832385117
0.01,44,1000,1000000,10.550312398835596
0.01,45,1000,1000000,10.766223461160688
0.01,46,1000,1000000,10.066917758028985
0.01,47,1000,1000000,10.720514204387403
0.01,48,1000,1000000,11.039891504283544
0.01,49,1000,1000000,inf
0.01,50,1000,1000000,10.1684190440463
0.01,51,1000,1000000,10.870199770510451
0.01,52,1000,1000000,9.765595087569164
0.01,53,1000,1000000,10.940791115126808
0.01,54,1000,1000000,10.26272899312092
0.01,55,1000,1000000,inf
0.01,56,1000,1000000,10.416340036338577
0.01,57,1000,1000000,9.870694180999852
0.01,58,1000,1000000,10.805802235210885
0.01,59,1000,1000000,11.06879879816642
0.01,60,1000,1000000,10.709641832759305
0.01,61,1000,1000000,inf
0.01,62,1000,1000000,11.045626021022906
0.01,63,1000,1000000,10.937266350637714
0.01,64,1000,1000000,10.630349538693284
0.01,65,1000,1000000,10.911834490084908
