method,n_obs,n_sims,budget_label,delta0,rows,complete_rows,status_complete_rows,nonfinite_kl_status_rows,missing_rows,timed_out_rows,partial_training_only_rows,bad_shape_rows,shape_ok_rows,finite_kl_rows,infinite_kl_rows,nan_kl_rows,finite_kl_fraction,infinite_kl_fraction,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,finite_mmd_rows,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
flow_npe,5000,42585,N=n log(n),1.0,101,99,99,0,0,0,2,0,99,99,0,2,0.9801980198019802,0.0,-0.07829838051396944,0.02046155737196595,0.05522616218298501,0.09080426760683194,0.33477129543032674,99,2.7418136596679688e-06,0.000500798225402832,0.0010368824005126953,0.0017902255058288574,0.007912993431091309
flow_npe,5000,353553,N=n^(3/2),1.0,101,97,96,1,0,0,4,0,97,96,1,4,0.9504950495049505,0.009900990099009901,-0.10605981092875881,-0.013028092970191352,0.01917033953120844,0.05209212559558006,0.16165094392422205,97,-3.325939178466797e-05,0.0002053976058959961,0.00040853023529052734,0.0009819269180297852,0.0045506954193115234
flow_npe,5000,25000000,N=n^2,1.0,101,0,0,0,0,0,101,0,0,0,0,101,0.0,0.0,,,,,,0,,,,,
gaussian_npe,100,100,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.11295975961128718,0.36895311059417146,0.6538464178309105,1.0851568381109398,2.065084481989,101,0.0021965503692626953,0.023514747619628906,0.05615794658660889,0.10490894317626953,0.27521586418151855
gaussian_npe,100,460,N=n log(n),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.02602733621335244,0.1351032912971027,0.19197459239791867,0.2877670954793804,0.9770956605477572,101,0.0003687143325805664,0.004848480224609375,0.009385943412780762,0.01859128475189209,0.08896851539611816
gaussian_npe,100,1000,N=n^(3/2),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.02423842109727925,0.15764969036869286,0.20355127159656727,0.264249892614568,1.4758174873125025,101,0.0009169578552246094,0.005738735198974609,0.01061701774597168,0.015018224716186523,0.1453162431716919
gaussian_npe,100,10000,N=n^2,1.0,101,101,99,2,0,0,0,0,101,99,2,0,0.9801980198019802,0.019801980198019802,0.006051067935572711,0.08693392965540639,0.11910004864928923,0.15270437694812683,0.30519910305286296,101,0.00033867359161376953,0.001674652099609375,0.003293156623840332,0.005176067352294922,1.6558632850646973
gaussian_npe,500,500,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.01334041621672771,0.16542067777932057,0.24598850309721781,0.4416119128203175,2.874250645778392,101,0.0006614923477172852,0.0032300949096679688,0.008755087852478027,0.016132473945617676,0.25906312465667725
gaussian_npe,500,3107,N=n log(n),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,-0.05654106444253819,0.02850512666096543,0.0553677670291263,0.10767966883719886,0.28210784479786877,101,3.0994415283203125e-06,0.0014945268630981445,0.002892732620239258,0.0052841901779174805,0.020128488540649414
gaussian_npe,500,11180,N=n^(3/2),1.0,101,101,100,1,0,0,0,0,101,100,1,0,0.9900990099009901,0.009900990099009901,-0.08353005380792297,0.015528745870448763,0.05331352450256237,0.09407652961601816,0.22302912809024084,101,-4.2438507080078125e-05,0.000947117805480957,0.0019353628158569336,0.004317045211791992,1.5907881259918213
gaussian_npe,500,250000,N=n^2,1.0,101,101,100,1,0,0,0,0,101,100,1,0,0.9900990099009901,0.009900990099009901,-0.07775718983364771,-0.004712285205667757,0.029921658897860998,0.05574282476992291,19.872730003816887,101,1.3113021850585938e-06,0.0004105567932128906,0.0009659528732299805,0.0017300844192504883,1.3878161907196045
gaussian_npe,1000,1000,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,-0.030200673566876245,0.10514928849211037,0.1952734789603327,0.31257272155240595,1.1590539825221777,101,0.0002048015594482422,0.0022971630096435547,0.006153106689453125,0.011841535568237305,0.05059397220611572
gaussian_npe,1000,6907,N=n log(n),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,-0.060409126913134034,0.03433579302961938,0.06472739727141757,0.11635763554468753,0.29983761858753893,101,-2.8967857360839844e-05,0.0011789798736572266,0.0025621652603149414,0.004432082176208496,0.018337011337280273
gaussian_npe,1000,31622,N=n^(3/2),1.0,101,101,100,1,0,0,0,0,101,100,1,0,0.9900990099009901,0.009900990099009901,-0.10916496249980348,0.015831418090436193,0.05991147823267114,0.08534651980825796,0.26811924173863527,101,-3.0994415283203125e-05,0.0006655454635620117,0.001456141471862793,0.0032459497451782227,1.549055576324463
gaussian_npe,1000,1000000,N=n^2,1.0,101,101,87,14,0,0,0,0,101,87,14,0,0.8613861386138614,0.13861386138613863,-0.052986679413863993,0.0006906739410575856,0.025111833095399834,0.06288869449986803,22.189977340418,101,-6.103515625e-05,0.00022029876708984375,0.000630497932434082,0.002130270004272461,1.9930130243301392
gaussian_npe,5000,5000,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,-0.06450866662908443,0.04196910147175137,0.09436384576800157,0.1936439084462982,0.4583105387297129,101,-8.702278137207031e-06,0.0007799863815307617,0.0021322965621948242,0.003782033920288086,0.009724020957946777
gaussian_npe,5000,42585,N=n log(n),1.0,101,101,99,2,0,0,0,0,101,99,2,0,0.9801980198019802,0.019801980198019802,-0.07801468461531297,0.012076892692364873,0.05260796631338674,0.10100820835574773,0.19991086212244039,101,-2.8371810913085938e-05,0.00033593177795410156,0.0010170936584472656,0.0021959543228149414,1.5876296758651733
gaussian_npe,5000,353553,N=n^(3/2),1.0,101,101,97,4,0,0,0,0,101,97,4,0,0.9603960396039604,0.039603960396039604,-0.07489986869340057,-0.01383245372307401,0.024988020708883476,0.055437762066309626,0.15577559200499366,101,-1.4185905456542969e-05,0.0002117156982421875,0.0006053447723388672,0.001128554344177246,1.5930545330047607
gaussian_npe,5000,25000000,N=n^2,1.0,101,101,3,98,0,0,0,0,101,3,98,0,0.0297029702970297,0.9702970297029703,22.16193458989918,22.278899430283605,22.39586427066803,22.39787888022026,22.39989348977249,101,1.322313666343689,1.9930130243301392,1.9930130243301392,1.9930130243301392,1.9930130243301392
