method,t1,t2
flow-NPE,0.5502413511276245,0.13805019855499268
flow-NPE,0.6839885711669922,0.0987386703491211
flow-NPE,0.5921148061752319,0.08569371700286865
flow-NPE,0.5801784992218018,0.06591928005218506
flow-NPE,0.578249454498291,0.02626800537109375
flow-NPE,0.6161199808120728,0.13951456546783447
flow-NPE,0.6958550214767456,0.14922308921813965
flow-NPE,0.608370304107666,0.10390877723693848
flow-NPE,0.6443817615509033,0.05149376392364502
flow-NPE,0.6607224941253662,0.01248311996459961
flow-NPE,0.6348999738693237,0.2025824785232544
flow-NPE,0.5604064464569092,0.14810514450073242
flow-NPE,0.6907050609588623,0.05358266830444336
flow-NPE,0.6185281276702881,0.05669689178466797
flow-NPE,0.650070071220398,0.24391794204711914
flow-NPE,0.6457376480102539,0.08867478370666504
flow-NPE,0.6639764308929443,0.04198145866394043
flow-NPE,0.6147382259368896,0.2101365327835083
flow-NPE,0.640007495880127,0.07998645305633545
flow-NPE,0.570288896560669,0.14233362674713135
flow-NPE,0.6421976089477539,0.16106629371643066
flow-NPE,0.6195974349975586,0.21954798698425293
flow-NPE,0.6352407932281494,0.054235100746154785
flow-NPE,0.5716909170150757,0.2556952238082886
flow-NPE,0.6625068187713623,0.15765070915222168
flow-NPE,0.6254847049713135,0.15381836891174316
flow-NPE,0.6624592542648315,0.0702207088470459
flow-NPE,0.5767689943313599,0.03005218505859375
flow-NPE,0.6198832988739014,0.1321474313735962
flow-NPE,0.6208282709121704,0.06371891498565674
flow-NPE,0.6101877689361572,0.10666048526763916
flow-NPE,0.6520678997039795,0.23558354377746582
flow-NPE,0.641369104385376,0.17380595207214355
flow-NPE,0.6561031341552734,0.0718001127243042
flow-NPE,0.6411535739898682,0.14894318580627441
flow-NPE,0.5369753837585449,0.12242770195007324
flow-NPE,0.570610523223877,0.05085885524749756
flow-NPE,0.592074990272522,0.15970051288604736
flow-NPE,0.6304785013198853,0.05581045150756836
flow-NPE,0.5620071887969971,0.15471100807189941
flow-NPE,0.6444610357284546,0.032991886138916016
flow-NPE,0.6286505460739136,0.007457375526428223
flow-NPE,0.6199227571487427,0.08216047286987305
flow-NPE,0.5835001468658447,0.09965240955352783
flow-NPE,0.612438440322876,0.03981971740722656
flow-NPE,0.6526360511779785,0.18178057670593262
flow-NPE,0.5749173164367676,0.10144686698913574
flow-NPE,0.5763609409332275,0.15459966659545898
