method,standardisation,seed,n_obs,N_sims,theta_kl,status
flow_npe,standard_zscore_baseline,13,1000,1000000,4.048390303871531,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,14,1000,1000000,1.8211863113345554,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,15,1000,1000000,1.7303933221756447,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,16,1000,1000000,1.6886172614210855,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,17,1000,1000000,1.5501402504622357,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,18,1000,1000000,2.8984506618807173,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,19,1000,1000000,1.627600861650645,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,20,1000,1000000,2.040459163506629,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,21,1000,1000000,1.9557541039044037,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,22,1000,1000000,2.0095663073525416,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,23,1000,1000000,8.81919621200974,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,24,1000,1000000,1.5201980669539636,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,25,1000,1000000,4.647838028508258,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,26,1000,1000000,3.0155360200986903,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,27,1000,1000000,1.7721570633691546,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,28,1000,1000000,2.4196618320620935,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,29,1000,1000000,2.4075567751071714,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,30,1000,1000000,1.8152362360029233,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,31,1000,1000000,1.778117693992477,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,32,1000,1000000,1.7473573886212523,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,33,1000,1000000,1.6972764364608084,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,34,1000,1000000,1.3176119312480077,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,35,1000,1000000,1.6757782223123314,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,36,1000,1000000,2.3423573791703496,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,37,1000,1000000,1.350982299412643,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,38,1000,1000000,1.92247590300912,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,39,1000,1000000,3.0467238068261393,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,40,1000,1000000,3.7593961150589754,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,41,1000,1000000,6.228841816840253,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,42,1000,1000000,2.257605126057916,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,43,1000,1000000,1.6846307651741919,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,44,1000,1000000,1.7010890633873956,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,45,1000,1000000,2.981732585032395,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,46,1000,1000000,1.5385212703864797,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,47,1000,1000000,1.7831919026576635,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,48,1000,1000000,1.432731915507761,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,49,1000,1000000,1.8545597278434145,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,50,1000,1000000,1.6052638208472827,baseline_from_v3_csv
