method,seed,n_obs,d_s,d,N_sims,N_over_d2n,theta_kl,cross_entropy,status
flow_npe,4,1000,7,11,605000,5.0,2.0985872945364696,-4.344866658335629,complete
flow_npe,5,1000,7,11,605000,5.0,1.8560372183781648,-4.584814304130407,complete
flow_npe,6,1000,7,11,605000,5.0,1.921333850941529,-4.419828457793103,complete
flow_npe,7,1000,7,11,605000,5.0,2.689517132701454,-3.6299811442336734,complete
gaussian_npe,0,1000,11,15,1125000,5.0,3.0034648426190302,-3.781124621134081,complete
gaussian_npe,1,1000,11,15,1125000,5.0,4.1750259061758825,-2.6895643949827317,complete
gaussian_npe,2,1000,11,15,1125000,5.0,2.379584366915891,-4.333031452566189,complete
gaussian_npe,3,1000,11,15,1125000,5.0,3.077642974516648,-3.6981281637506127,complete
gaussian_npe,4,1000,11,15,1125000,5.0,3.073326590924924,-3.7317470139372153,complete
gaussian_npe,5,1000,11,15,1125000,5.0,3.567455976584515,-3.544449244975411,complete
gaussian_npe,6,1000,11,15,1125000,5.0,2.9111488687228566,-3.8729041325161626,complete
gaussian_npe,7,1000,11,15,1125000,5.0,2.8213780444834873,-4.111019346721084,complete
gaussian_npe,0,1000,11,15,2250000,10.0,3.0300371985251107,-4.0357327943224055,complete
gaussian_npe,1,1000,11,15,2250000,10.0,3.533636257370095,-2.7514330619863347,complete
gaussian_npe,2,1000,11,15,2250000,10.0,2.241479652295712,-4.354650235268449,complete
gaussian_npe,3,1000,11,15,2250000,10.0,2.3733365791005707,-4.375858722482825,complete
gaussian_npe,4,1000,11,15,2250000,10.0,2.9962789536850156,-3.9028252893044146,complete
gaussian_npe,5,1000,11,15,2250000,10.0,4.306943514809649,-3.025941032671698,complete
gaussian_npe,6,1000,11,15,2250000,10.0,2.999134147795976,-3.5125743667409086,complete
gaussian_npe,7,1000,11,15,2250000,10.0,2.882825441767938,-4.070642661044984,complete
gaussian_npe,0,1000,11,15,4500000,20.0,2.5548391967903332,-4.465228848687378,complete
gaussian_npe,1,1000,11,15,4500000,20.0,3.343035745630837,-3.485089731570384,complete
gaussian_npe,2,1000,11,15,4500000,20.0,2.4712916475374778,-4.175607537281128,complete
gaussian_npe,3,1000,11,15,4500000,20.0,2.461613222045349,-4.394072264677967,complete
gaussian_npe,4,1000,11,15,4500000,20.0,2.2469217321922637,-4.508214030217634,complete
gaussian_npe,5,1000,11,15,4500000,20.0,2.3485513872558994,-4.564364794371715,complete
gaussian_npe,6,1000,11,15,4500000,20.0,3.7107850223818915,-2.862131670932893,complete
gaussian_npe,7,1000,11,15,4500000,20.0,3.2811162028153573,-3.5939691873974238,complete
gaussian_npe,0,1000,15,19,1805000,5.0,2.711956745567865,-4.3030968923330555,complete
gaussian_npe,1,1000,15,19,1805000,5.0,2.8323661163611824,-4.207685236655803,complete
gaussian_npe,2,1000,15,19,1805000,5.0,2.2299326589727575,-4.796919742941467,complete
gaussian_npe,3,1000,15,19,1805000,5.0,2.309871460571987,-4.773581388811862,complete
gaussian_npe,4,1000,15,19,1805000,5.0,2.7475360297470197,-4.444283632781324,complete
gaussian_npe,5,1000,15,19,1805000,5.0,3.054109491735571,-4.151845053222389,complete
gaussian_npe,6,1000,15,19,1805000,5.0,3.6494721957215046,-3.0637960109638906,complete
gaussian_npe,7,1000,15,19,1805000,5.0,3.685955692530374,-3.46538384341797,complete
gaussian_npe,0,1000,15,19,3610000,10.0,2.9193754504337592,-3.9725953123446636,complete
gaussian_npe,1,1000,15,19,3610000,10.0,3.1615533040961266,-3.711689981848672,complete
gaussian_npe,2,1000,15,19,3610000,10.0,2.70571064584325,-4.197684950723033,complete
gaussian_npe,3,1000,15,19,3610000,10.0,3.7103668789166595,-3.5474658486339825,complete
gaussian_npe,4,1000,15,19,3610000,10.0,2.3303658589477685,-4.616104424423067,complete
gaussian_npe,5,1000,15,19,3610000,10.0,3.2823746764831494,-3.936058963237385,complete
gaussian_npe,6,1000,15,19,3610000,10.0,3.539977178943038,-3.459780172159025,complete
gaussian_npe,7,1000,15,19,3610000,10.0,3.838235826530184,-3.335706283793979,complete
gaussian_npe,0,1000,19,23,2645000,5.0,3.46430444615134,-3.736346504404919,complete
gaussian_npe,1,1000,19,23,2645000,5.0,,,failed
gaussian_npe,2,1000,19,23,2645000,5.0,2.3117819445552206,-4.634476569185782,complete
gaussian_npe,3,1000,19,23,2645000,5.0,2.8122605683152324,-4.4630182703678125,complete
gaussian_npe,4,1000,19,23,2645000,5.0,3.039795859452399,-4.021095188742465,complete
gaussian_npe,5,1000,19,23,2645000,5.0,3.4020423171297294,-3.7958762659779084,complete
gaussian_npe,6,1000,19,23,2645000,5.0,3.5268341251681674,-3.4822222075052847,complete
gaussian_npe,7,1000,19,23,2645000,5.0,3.4441180651004877,-3.838424302411709,complete
gaussian_npe,0,1000,19,23,5290000,10.0,3.1163240734530637,-3.977269353150843,complete
gaussian_npe,1,1000,19,23,5290000,10.0,2.82421798532688,-4.252914594157546,complete
gaussian_npe,2,1000,19,23,5290000,10.0,2.703495319460966,-4.481284303320659,complete
gaussian_npe,3,1000,19,23,5290000,10.0,2.9405918317171036,-4.110338280262522,complete
gaussian_npe,4,1000,19,23,5290000,10.0,2.763629204806752,-4.247211858687433,complete
gaussian_npe,5,1000,19,23,5290000,10.0,,,failed
gaussian_npe,6,1000,19,23,5290000,10.0,3.2956620641227405,-3.6655091723320408,complete
gaussian_npe,7,1000,19,23,5290000,10.0,3.3459665849598497,-3.8548966590904428,complete
gaussian_npe,0,1000,5,9,1620000,20.0,2.3372110702343107,-3.7785037767994227,complete
gaussian_npe,1,1000,5,9,1620000,20.0,3.6097328048692305,-2.2327916747467245,complete
gaussian_npe,2,1000,5,9,1620000,20.0,1.992473868023948,-3.7029623121885598,complete
gaussian_npe,3,1000,5,9,1620000,20.0,1.8515148410053477,-3.6902188653184105,complete
gaussian_npe,4,1000,5,9,1620000,20.0,2.4017496314696865,-3.6118119785861924,complete
gaussian_npe,5,1000,5,9,1620000,20.0,1.9007278729187784,-3.986392911544204,complete
gaussian_npe,6,1000,5,9,1620000,20.0,2.430902952731655,-3.5407552860833196,complete
gaussian_npe,7,1000,5,9,1620000,20.0,2.284713586200755,-3.6994084581341977,complete
gaussian_npe,0,1000,5,9,405000,5.0,2.4753417506360837,-3.45471931131368,complete
gaussian_npe,1,1000,5,9,405000,5.0,2.719415493523933,-2.5463513335268537,complete
gaussian_npe,2,1000,5,9,405000,5.0,2.768918818154495,-2.888830038409337,complete
gaussian_npe,3,1000,5,9,405000,5.0,2.337315481452783,-3.3683189666506914,complete
gaussian_npe,4,1000,5,9,405000,5.0,2.371122298545215,-3.4804758708517562,complete
gaussian_npe,5,1000,5,9,405000,5.0,2.5849827032747554,-3.302186429554965,complete
gaussian_npe,6,1000,5,9,405000,5.0,2.4968261133430607,-3.571216939512273,complete
gaussian_npe,7,1000,5,9,405000,5.0,2.2270895057975646,-3.738787480984937,complete
gaussian_npe,0,1000,5,9,810000,10.0,2.3786871148126094,-3.476948523011209,complete
gaussian_npe,1,1000,5,9,810000,10.0,2.466152835632635,-3.0230193873189424,complete
gaussian_npe,2,1000,5,9,810000,10.0,2.150377793687465,-3.421466694187416,complete
gaussian_npe,3,1000,5,9,810000,10.0,2.0596308451261565,-3.5266424163914656,complete
gaussian_npe,4,1000,5,9,810000,10.0,2.1757423599524213,-3.7452419672471424,complete
gaussian_npe,5,1000,5,9,810000,10.0,2.418353711636674,-3.661383075356985,complete
gaussian_npe,6,1000,5,9,810000,10.0,2.8429044183520906,-3.1092199281046753,complete
gaussian_npe,7,1000,5,9,810000,10.0,2.563710068408815,-3.4000041215302,complete
gaussian_npe,0,1000,7,11,1210000,10.0,2.261904878920538,-4.302310135938939,complete
gaussian_npe,1,1000,7,11,1210000,10.0,3.5369743040627593,-2.9286261714610493,complete
gaussian_npe,2,1000,7,11,1210000,10.0,2.2702507776131116,-4.012462845846283,complete
gaussian_npe,3,1000,7,11,1210000,10.0,2.028631093190403,-4.258975191910808,complete
gaussian_npe,4,1000,7,11,1210000,10.0,2.336365024408587,-4.102161068708356,complete
gaussian_npe,5,1000,7,11,1210000,10.0,3.1456576913250736,-3.3224917201376387,complete
gaussian_npe,6,1000,7,11,1210000,10.0,3.0210019646466244,-3.517206095102624,complete
gaussian_npe,7,1000,7,11,1210000,10.0,3.1799704262686626,-3.275327374683053,complete
gaussian_npe,0,1000,7,11,2420000,20.0,2.0919918858480093,-4.419987148565988,complete
gaussian_npe,1,1000,7,11,2420000,20.0,1.9527080537164998,-4.2283391663921535,complete
gaussian_npe,2,1000,7,11,2420000,20.0,2.213326186018971,-4.1309710239709645,complete
gaussian_npe,3,1000,7,11,2420000,20.0,1.8338307194807304,-4.282335904452626,complete
gaussian_npe,4,1000,7,11,2420000,20.0,2.0161791951290557,-4.434133772266552,complete
gaussian_npe,5,1000,7,11,2420000,20.0,2.4403268247222165,-3.9911580187022584,complete
gaussian_npe,6,1000,7,11,2420000,20.0,2.8131943076739865,-3.4932744513936096,complete
gaussian_npe,7,1000,7,11,2420000,20.0,3.465419559717933,-2.8283873928389007,complete
gaussian_npe,0,1000,7,11,605000,5.0,2.448688473532103,-3.8734413519206106,complete
gaussian_npe,1,1000,7,11,605000,5.0,2.3833705013216004,-3.8661817299912427,complete
gaussian_npe,2,1000,7,11,605000,5.0,2.9483869192216305,-3.228094015230875,complete
gaussian_npe,3,1000,7,11,605000,5.0,2.1556417029382664,-3.995244056783097,complete
gaussian_npe,4,1000,7,11,605000,5.0,2.2416059574853064,-4.168802333242336,complete
gaussian_npe,5,1000,7,11,605000,5.0,2.746082853438773,-3.896687636915265,complete
gaussian_npe,6,1000,7,11,605000,5.0,2.742549957395924,-3.767581319099767,complete
gaussian_npe,7,1000,7,11,605000,5.0,4.422665385020981,-2.153210630706678,complete
