method,seed,n_obs,d_s,d,N_sims,N_over_d2n,theta_kl,cross_entropy,status
gaussian_npe,0,1000,11,13,3380000,20.0,0.01500424715212497,-4.031130389397691,complete
gaussian_npe,1,1000,11,13,3380000,20.0,0.027306792227509213,-4.178887665896665,complete
gaussian_npe,2,1000,11,13,3380000,20.0,0.13343548821166124,-4.117548186997754,complete
gaussian_npe,3,1000,11,13,3380000,20.0,0.0724597214643812,-4.315363294633806,complete
gaussian_npe,4,1000,11,13,3380000,20.0,0.20347675550733216,-3.840416559147392,complete
gaussian_npe,5,1000,11,13,3380000,20.0,0.11619518729475485,-4.03433764878332,complete
gaussian_npe,6,1000,11,13,3380000,20.0,0.10145648571626663,-4.237621206010084,complete
gaussian_npe,7,1000,11,13,3380000,20.0,0.09643555516886963,-4.027810125976864,complete
gaussian_npe,0,1000,11,13,845000,5.0,0.04634329929272918,-4.010595201000462,complete
gaussian_npe,1,1000,11,13,845000,5.0,0.13190855593633688,-3.995943312086874,complete
gaussian_npe,2,1000,11,13,845000,5.0,-0.01018484087473754,-4.172770991936008,complete
gaussian_npe,3,1000,11,13,845000,5.0,0.03158432622861685,-4.337913831190353,complete
gaussian_npe,4,1000,11,13,845000,5.0,0.21579729493991193,-3.799232288810792,complete
gaussian_npe,5,1000,11,13,845000,5.0,0.14920570210247455,-4.029097870954498,complete
gaussian_npe,6,1000,11,13,845000,5.0,0.03393881560051998,-4.255478067527252,complete
gaussian_npe,7,1000,11,13,845000,5.0,0.0427050796155751,-4.010058714731206,complete
gaussian_npe,0,1000,15,17,1445000,5.0,0.3827361329530981,-3.751626468210525,complete
gaussian_npe,1,1000,15,17,1445000,5.0,0.18846445469186177,-3.8512999909904115,complete
gaussian_npe,2,1000,15,17,1445000,5.0,-0.07364933563834357,-4.2370783578169275,complete
gaussian_npe,3,1000,15,17,1445000,5.0,0.09353044008644378,-4.227611016244761,complete
gaussian_npe,4,1000,15,17,1445000,5.0,0.29659689345815493,-3.5785016030489025,complete
gaussian_npe,5,1000,15,17,1445000,5.0,0.12932514806665094,-4.159261313827521,complete
gaussian_npe,6,1000,15,17,1445000,5.0,0.04166302444827984,-4.318417413214218,complete
gaussian_npe,7,1000,15,17,1445000,5.0,0.01449158461295088,-4.1897309733230435,complete
gaussian_npe,0,1000,15,17,2890000,10.0,0.1500563465154033,-3.737020935105318,complete
gaussian_npe,1,1000,15,17,2890000,10.0,0.02971332973604909,-3.9718674230620734,complete
gaussian_npe,2,1000,15,17,2890000,10.0,-0.029615144420005363,-4.24512256610583,complete
gaussian_npe,3,1000,15,17,2890000,10.0,0.3511607354097406,-4.061289235411372,complete
gaussian_npe,4,1000,15,17,2890000,10.0,0.1884461301222537,-3.6172516127340026,complete
gaussian_npe,5,1000,15,17,2890000,10.0,0.26270605982867157,-4.0208969756096185,complete
gaussian_npe,6,1000,15,17,2890000,10.0,0.06225527650499943,-4.294886172828002,complete
gaussian_npe,7,1000,15,17,2890000,10.0,0.046638139747040744,-4.218829529367061,complete
gaussian_npe,0,1000,15,17,5780000,20.0,0.2882079848837348,-3.685965128940806,complete
gaussian_npe,1,1000,15,17,5780000,20.0,0.13816663120523798,-3.9024471502662728,complete
gaussian_npe,2,1000,15,17,5780000,20.0,0.06486365267256813,-4.1805351294503055,complete
gaussian_npe,3,1000,15,17,5780000,20.0,0.04518231403629132,-4.325668656001136,complete
gaussian_npe,4,1000,15,17,5780000,20.0,0.12535332812906744,-3.7406616737799943,complete
gaussian_npe,5,1000,15,17,5780000,20.0,0.052616279653791606,-4.195876556361209,complete
gaussian_npe,6,1000,15,17,5780000,20.0,-0.010128336327258226,-4.311102261485011,complete
gaussian_npe,7,1000,15,17,5780000,20.0,0.12491100131333663,-4.1231712749624885,complete
gaussian_npe,0,1000,3,5,125000,5.0,0.0651009497832182,-3.037410485260771,complete
gaussian_npe,1,1000,3,5,125000,5.0,-0.0009048203153500592,-3.1361799924473703,complete
gaussian_npe,2,1000,3,5,125000,5.0,0.11227150547299723,-3.278865946373872,complete
gaussian_npe,3,1000,3,5,125000,5.0,0.020313165984463595,-3.4049101229163123,complete
gaussian_npe,4,1000,3,5,125000,5.0,0.05440867789032974,-3.225080855243925,complete
gaussian_npe,5,1000,3,5,125000,5.0,0.016033368612559835,-3.4157819905540086,complete
gaussian_npe,6,1000,3,5,125000,5.0,-0.007807558431893773,-3.2892907070304402,complete
gaussian_npe,7,1000,3,5,125000,5.0,0.0139397928692506,-3.2696314447037778,complete
gaussian_npe,0,1000,3,5,250000,10.0,0.07559181093283282,-3.1186359154258065,complete
gaussian_npe,1,1000,3,5,250000,10.0,0.062099086977600526,-3.2209537063878884,complete
gaussian_npe,2,1000,3,5,250000,10.0,0.06803028661237236,-3.3085081240085454,complete
gaussian_npe,3,1000,3,5,250000,10.0,0.06804887137683488,-3.406533444835324,complete
gaussian_npe,4,1000,3,5,250000,10.0,0.03204049010015181,-3.2819364432910207,complete
gaussian_npe,5,1000,3,5,250000,10.0,0.05320556451906806,-3.4213316642660367,complete
gaussian_npe,6,1000,3,5,250000,10.0,0.09674998853796808,-3.312079206275985,complete
gaussian_npe,7,1000,3,5,250000,10.0,0.08332114607652674,-3.245085554496976,complete
gaussian_npe,0,1000,3,5,500000,20.0,-0.006275331059995267,-3.0794219936892557,complete
gaussian_npe,1,1000,3,5,500000,20.0,0.14700856379431812,-3.0659365703773576,complete
gaussian_npe,2,1000,3,5,500000,20.0,0.04216568689616981,-3.3012964870181576,complete
gaussian_npe,3,1000,3,5,500000,20.0,0.07391003242894996,-3.463328423234612,complete
gaussian_npe,4,1000,3,5,500000,20.0,0.032430526757791595,-3.2597877136018694,complete
gaussian_npe,5,1000,3,5,500000,20.0,-0.007187330579523296,-3.4289382129456683,complete
gaussian_npe,6,1000,3,5,500000,20.0,0.05604934556345535,-3.3300538914154307,complete
gaussian_npe,7,1000,3,5,500000,20.0,0.09159458543204275,-3.190048587509331,complete
gaussian_npe,0,1000,5,7,245000,5.0,0.008403565101996911,-3.898509563308443,complete
gaussian_npe,1,1000,5,7,245000,5.0,0.02027124048202914,-4.287966435581333,complete
gaussian_npe,2,1000,5,7,245000,5.0,0.13124560444150543,-3.987996055453531,complete
gaussian_npe,3,1000,5,7,245000,5.0,0.024337008563915824,-4.1846474270219565,complete
gaussian_npe,4,1000,5,7,245000,5.0,0.039102319487163334,-3.89350372924553,complete
gaussian_npe,5,1000,5,7,245000,5.0,-0.04926582300520674,-4.168697342842426,complete
gaussian_npe,6,1000,5,7,245000,5.0,0.06262533393156407,-4.045661795746713,complete
gaussian_npe,7,1000,5,7,245000,5.0,0.04699778635726659,-3.978126412740118,complete
gaussian_npe,0,1000,5,7,490000,10.0,0.03581510659011801,-3.889155416073262,complete
gaussian_npe,1,1000,5,7,490000,10.0,-0.019720479489952585,-4.2847353777094295,complete
gaussian_npe,2,1000,5,7,490000,10.0,0.0200067181225391,-4.0399391179108735,complete
gaussian_npe,3,1000,5,7,490000,10.0,0.03621255661878514,-4.15769219857598,complete
gaussian_npe,4,1000,5,7,490000,10.0,0.07759578013529804,-3.838416065260687,complete
gaussian_npe,5,1000,5,7,490000,10.0,-0.0213349029937342,-4.188788301193168,complete
gaussian_npe,6,1000,5,7,490000,10.0,0.1513639739900309,-4.027401320723371,complete
gaussian_npe,7,1000,5,7,490000,10.0,0.08179650516781564,-3.981363412112515,complete
gaussian_npe,0,1000,5,7,980000,20.0,0.0849144653584097,-3.9173526819726825,complete
gaussian_npe,1,1000,5,7,980000,20.0,0.06831874522203342,-4.283871769965766,complete
gaussian_npe,2,1000,5,7,980000,20.0,0.019821394391140845,-4.012449331200688,complete
gaussian_npe,3,1000,5,7,980000,20.0,0.09551370159663101,-4.23499966931529,complete
gaussian_npe,4,1000,5,7,980000,20.0,0.14592835110988708,-3.7624610002841297,complete
gaussian_npe,5,1000,5,7,980000,20.0,0.01914480041012372,-4.185309005073148,complete
gaussian_npe,6,1000,5,7,980000,20.0,0.09968889964147615,-4.025952075800568,complete
gaussian_npe,7,1000,5,7,980000,20.0,-0.018387459240640492,-4.028732773129028,complete
gaussian_npe,0,1000,7,9,1620000,20.0,-0.0011986467779544231,-4.033189153189243,complete
gaussian_npe,1,1000,7,9,1620000,20.0,0.09715837625687154,-4.106954838049988,complete
gaussian_npe,2,1000,7,9,1620000,20.0,-0.06874604662042992,-4.0750212407149,complete
gaussian_npe,3,1000,7,9,1620000,20.0,0.027637292293819463,-4.296270341431357,complete
gaussian_npe,4,1000,7,9,1620000,20.0,0.018801722299421442,-4.014701688537273,complete
gaussian_npe,5,1000,7,9,1620000,20.0,0.07193013568195193,-4.248978396504855,complete
gaussian_npe,6,1000,7,9,1620000,20.0,0.023601090046221608,-4.239936655406379,complete
gaussian_npe,7,1000,7,9,1620000,20.0,0.04192382754410502,-4.146500653184772,complete
gaussian_npe,0,1000,7,9,405000,5.0,0.07537335271488525,-3.9945511207191653,complete
gaussian_npe,1,1000,7,9,405000,5.0,-0.018788047498652573,-4.091452093602486,complete
gaussian_npe,2,1000,7,9,405000,5.0,0.10363090596688093,-4.098059510367204,complete
gaussian_npe,3,1000,7,9,405000,5.0,-0.07502472159205828,-4.2592416163621705,complete
gaussian_npe,4,1000,7,9,405000,5.0,0.07571025782708124,-4.0018271623640045,complete
gaussian_npe,5,1000,7,9,405000,5.0,-0.0032456347427800786,-4.209134957404563,complete
gaussian_npe,6,1000,7,9,405000,5.0,0.002087601315036552,-4.21428270597928,complete
gaussian_npe,7,1000,7,9,405000,5.0,-0.0636019854054633,-4.0852541029955445,complete
gaussian_npe,0,1000,7,9,810000,10.0,-0.025535606803510927,-4.022857902394857,complete
gaussian_npe,1,1000,7,9,810000,10.0,-0.03161573873371663,-4.141093042389364,complete
gaussian_npe,2,1000,7,9,810000,10.0,0.06311262173025946,-4.101401343697175,complete
gaussian_npe,3,1000,7,9,810000,10.0,0.12657179303061042,-4.230952734616777,complete
gaussian_npe,4,1000,7,9,810000,10.0,0.03132406615102894,-3.9836702222377753,complete
gaussian_npe,5,1000,7,9,810000,10.0,0.08422154835550813,-4.20355796443486,complete
gaussian_npe,6,1000,7,9,810000,10.0,0.056056104555889566,-4.2383950752529165,complete
gaussian_npe,7,1000,7,9,810000,10.0,-0.013054895557980225,-4.102960455282882,complete
