method,n,N,N_label,seed,param,source,sample_count,posterior_mean,bias
flow_npe,100,100,N=n,25,sigma,posterior_samples.pkl,10000,3.951717165110726,1.951717165110726
flow_npe,100,100,N=n,25,xi,posterior_samples.pkl,10000,-1.5820411556363105,-1.4820411556363104
flow_npe,100,100,N=n,26,lambda,posterior_samples.pkl,10000,100.24786725025177,0.24786725025177248
flow_npe,100,100,N=n,26,sigma,posterior_samples.pkl,10000,3.4804898491563274,1.4804898491563274
flow_npe,100,100,N=n,26,xi,posterior_samples.pkl,10000,-1.4447265840888024,-1.3447265840888023
flow_npe,100,100,N=n,27,lambda,posterior_samples.pkl,10000,96.84981816139221,-3.150181838607793
flow_npe,100,100,N=n,27,sigma,posterior_samples.pkl,10000,3.7647728111321106,1.7647728111321106
flow_npe,100,100,N=n,27,xi,posterior_samples.pkl,10000,-1.701960427570343,-1.601960427570343
flow_npe,100,100,N=n,28,lambda,posterior_samples.pkl,10000,102.71208094596862,2.712080945968623
flow_npe,100,100,N=n,28,sigma,posterior_samples.pkl,10000,2.44950449911356,0.44950449911355994
flow_npe,100,100,N=n,28,xi,posterior_samples.pkl,10000,-0.7578068547606468,-0.6578068547606468
flow_npe,100,100,N=n,29,lambda,posterior_samples.pkl,10000,95.19107481498719,-4.808925185012811
flow_npe,100,100,N=n,29,sigma,posterior_samples.pkl,10000,3.788320605876483,1.788320605876483
flow_npe,100,100,N=n,29,xi,posterior_samples.pkl,10000,-1.6851940395474434,-1.5851940395474433
flow_npe,100,100,N=n,30,lambda,posterior_samples.pkl,10000,92.00101885490417,-7.998981145095826
flow_npe,100,100,N=n,30,sigma,posterior_samples.pkl,10000,3.5983339751807972,1.5983339751807972
flow_npe,100,100,N=n,30,xi,posterior_samples.pkl,10000,-1.6043754278540612,-1.504375427854061
flow_npe,100,100,N=n,31,lambda,posterior_samples.pkl,10000,100.74406810665131,0.7440681066513122
flow_npe,100,100,N=n,31,sigma,posterior_samples.pkl,10000,3.3079822928960434,1.3079822928960434
flow_npe,100,100,N=n,31,xi,posterior_samples.pkl,10000,-1.3868331620454788,-1.2868331620454787
flow_npe,100,100,N=n,32,lambda,posterior_samples.pkl,10000,100.8069999097824,0.8069999097824052
flow_npe,100,100,N=n,32,sigma,posterior_samples.pkl,10000,3.3488313533555716,1.3488313533555716
flow_npe,100,100,N=n,32,xi,posterior_samples.pkl,10000,-1.4328940014123916,-1.3328940014123916
flow_npe,100,100,N=n,33,lambda,posterior_samples.pkl,10000,105.8042680141449,5.8042680141448955
flow_npe,100,100,N=n,33,sigma,posterior_samples.pkl,10000,5.314735970115941,3.314735970115941
flow_npe,100,100,N=n,33,xi,posterior_samples.pkl,10000,-1.609838117289543,-1.509838117289543
flow_npe,100,100,N=n,34,lambda,posterior_samples.pkl,10000,98.86314493637084,-1.136855063629156
flow_npe,100,100,N=n,34,sigma,posterior_samples.pkl,10000,3.455763646906614,1.4557636469066142
flow_npe,100,100,N=n,34,xi,posterior_samples.pkl,10000,-1.5460481927514076,-1.4460481927514075
flow_npe,100,100,N=n,35,lambda,posterior_samples.pkl,10000,100.03310650920868,0.03310650920867886
flow_npe,100,100,N=n,35,sigma,posterior_samples.pkl,10000,3.8696217024398503,1.8696217024398503
flow_npe,100,100,N=n,35,xi,posterior_samples.pkl,10000,-1.4189332221627236,-1.3189332221627235
flow_npe,100,100,N=n,36,lambda,posterior_samples.pkl,10000,97.18440691070556,-2.8155930892944383
flow_npe,100,100,N=n,36,sigma,posterior_samples.pkl,10000,3.2552270261529834,1.2552270261529834
flow_npe,100,100,N=n,36,xi,posterior_samples.pkl,10000,-1.1284315664887428,-1.0284315664887427
flow_npe,100,100,N=n,37,lambda,posterior_samples.pkl,10000,99.86962780208587,-0.13037219791412724
flow_npe,100,100,N=n,37,sigma,posterior_samples.pkl,10000,4.586358723373711,2.586358723373711
flow_npe,100,100,N=n,37,xi,posterior_samples.pkl,10000,-1.6498102443695069,-1.5498102443695068
flow_npe,100,100,N=n,38,lambda,posterior_samples.pkl,10000,94.47350151443482,-5.526498485565185
flow_npe,100,100,N=n,38,sigma,posterior_samples.pkl,10000,3.9552034605294466,1.9552034605294466
flow_npe,100,100,N=n,38,xi,posterior_samples.pkl,10000,-1.5923134677648545,-1.4923134677648544
flow_npe,100,100,N=n,39,lambda,posterior_samples.pkl,10000,98.64731428852082,-1.3526857114791824
flow_npe,100,100,N=n,39,sigma,posterior_samples.pkl,10000,3.7434385564672294,1.7434385564672294
flow_npe,100,100,N=n,39,xi,posterior_samples.pkl,10000,-0.9504220838546753,-0.8504220838546753
flow_npe,100,100,N=n,40,lambda,posterior_samples.pkl,10000,98.41346926250458,-1.5865307374954227
flow_npe,100,100,N=n,40,sigma,posterior_samples.pkl,10000,3.775670049902797,1.7756700499027969
flow_npe,100,100,N=n,40,xi,posterior_samples.pkl,10000,-1.3571221168160439,-1.2571221168160438
flow_npe,100,100,N=n,41,lambda,posterior_samples.pkl,10000,96.48694292907714,-3.513057070922855
flow_npe,100,100,N=n,41,sigma,posterior_samples.pkl,10000,4.904922246270254,2.904922246270254
flow_npe,100,100,N=n,41,xi,posterior_samples.pkl,10000,-1.2818402116656304,-1.1818402116656304
flow_npe,100,100,N=n,42,lambda,posterior_samples.pkl,10000,99.57435780220031,-0.42564219779968937
flow_npe,100,100,N=n,42,sigma,posterior_samples.pkl,10000,3.8067855354797095,1.8067855354797095
flow_npe,100,100,N=n,42,xi,posterior_samples.pkl,10000,-1.4126870193481444,-1.3126870193481444
flow_npe,100,100,N=n,43,lambda,posterior_samples.pkl,10000,100.72953322105408,0.7295332210540835
flow_npe,100,100,N=n,43,sigma,posterior_samples.pkl,10000,4.50968590207696,2.50968590207696
flow_npe,100,100,N=n,43,xi,posterior_samples.pkl,10000,-1.8846086295962334,-1.7846086295962333
flow_npe,100,100,N=n,44,lambda,posterior_samples.pkl,10000,102.26980178642273,2.2698017864227324
flow_npe,100,100,N=n,44,sigma,posterior_samples.pkl,10000,4.343597004851047,2.3435970048510466
flow_npe,100,100,N=n,44,xi,posterior_samples.pkl,10000,-1.5203083337187766,-1.4203083337187765
flow_npe,100,100,N=n,45,lambda,posterior_samples.pkl,10000,100.33670938377381,0.3367093837738082
flow_npe,100,100,N=n,45,sigma,posterior_samples.pkl,10000,4.560481256685779,2.5604812566857786
flow_npe,100,100,N=n,45,xi,posterior_samples.pkl,10000,-1.2584045810461044,-1.1584045810461043
flow_npe,100,100,N=n,46,lambda,posterior_samples.pkl,10000,97.8212173734665,-2.178782626533504
flow_npe,100,100,N=n,46,sigma,posterior_samples.pkl,10000,5.571337529002875,3.571337529002875
flow_npe,100,100,N=n,46,xi,posterior_samples.pkl,10000,-1.7936467292904854,-1.6936467292904853
flow_npe,100,100,N=n,47,lambda,posterior_samples.pkl,10000,99.19016190719604,-0.8098380928039575
flow_npe,100,100,N=n,47,sigma,posterior_samples.pkl,10000,4.493233339175954,2.493233339175954
flow_npe,100,100,N=n,47,xi,posterior_samples.pkl,10000,-1.5612733179092406,-1.4612733179092405
flow_npe,100,100,N=n,48,lambda,posterior_samples.pkl,10000,100.33602928543091,0.3360292854309108
flow_npe,100,100,N=n,48,sigma,posterior_samples.pkl,10000,4.003840038004517,2.003840038004517
flow_npe,100,100,N=n,48,xi,posterior_samples.pkl,10000,-1.6046961932301522,-1.5046961932301521
flow_npe,100,100,N=n,49,lambda,posterior_samples.pkl,10000,97.91899138717652,-2.0810086128234815
flow_npe,100,100,N=n,49,sigma,posterior_samples.pkl,10000,3.7633550591617824,1.7633550591617824
flow_npe,100,100,N=n,49,xi,posterior_samples.pkl,10000,-1.4996465452551841,-1.399646545255184
flow_npe,100,100,N=n,50,lambda,posterior_samples.pkl,10000,99.56940699348449,-0.43059300651550814
flow_npe,100,100,N=n,50,sigma,posterior_samples.pkl,10000,5.305595757418312,3.3055957574183124
flow_npe,100,100,N=n,50,xi,posterior_samples.pkl,10000,-1.2836516854405404,-1.1836516854405403
flow_npe,100,100,N=n,51,lambda,posterior_samples.pkl,10000,99.0929291753769,-0.907070824623105
flow_npe,100,100,N=n,51,sigma,posterior_samples.pkl,10000,3.7613568193946967,1.7613568193946967
flow_npe,100,100,N=n,51,xi,posterior_samples.pkl,10000,-1.3428829776763915,-1.2428829776763914
flow_npe,100,100,N=n,52,lambda,posterior_samples.pkl,10000,104.41598327121734,4.415983271217343
flow_npe,100,100,N=n,52,sigma,posterior_samples.pkl,10000,6.539544517650735,4.539544517650735
flow_npe,100,100,N=n,52,xi,posterior_samples.pkl,10000,-1.6482867257475853,-1.5482867257475852
flow_npe,100,100,N=n,53,lambda,posterior_samples.pkl,10000,102.80373482761384,2.8037348276138374
flow_npe,100,100,N=n,53,sigma,posterior_samples.pkl,10000,4.683939920445159,2.683939920445159
flow_npe,100,100,N=n,53,xi,posterior_samples.pkl,10000,-1.579067061650753,-1.4790670616507529
flow_npe,100,100,N=n,54,lambda,posterior_samples.pkl,10000,104.70907492218018,4.709074922180179
flow_npe,100,100,N=n,54,sigma,posterior_samples.pkl,10000,3.926208090749383,1.926208090749383
flow_npe,100,100,N=n,54,xi,posterior_samples.pkl,10000,-1.3830789233326912,-1.2830789233326911
flow_npe,100,100,N=n,55,lambda,posterior_samples.pkl,10000,105.73303016452789,5.733030164527889
flow_npe,100,100,N=n,55,sigma,posterior_samples.pkl,10000,3.1589361526966093,1.1589361526966093
flow_npe,100,100,N=n,55,xi,posterior_samples.pkl,10000,-1.112312831544876,-1.012312831544876
flow_npe,100,100,N=n,56,lambda,posterior_samples.pkl,10000,98.24162422428131,-1.7583757757186902
flow_npe,100,100,N=n,56,sigma,posterior_samples.pkl,10000,3.919121746592969,1.9191217465929689
flow_npe,100,100,N=n,56,xi,posterior_samples.pkl,10000,-1.0478474534511566,-0.9478474534511566
flow_npe,100,100,N=n,57,lambda,posterior_samples.pkl,10000,98.9383019039154,-1.0616980960845979
flow_npe,100,100,N=n,57,sigma,posterior_samples.pkl,10000,3.9587643942261113,1.9587643942261113
flow_npe,100,100,N=n,57,xi,posterior_samples.pkl,10000,-1.7262200455069543,-1.6262200455069542
flow_npe,100,100,N=n,58,lambda,posterior_samples.pkl,10000,98.41600251312256,-1.5839974868774362
flow_npe,100,100,N=n,58,sigma,posterior_samples.pkl,10000,3.193190586106852,1.193190586106852
flow_npe,100,100,N=n,58,xi,posterior_samples.pkl,10000,-1.112500482594967,-1.0125004825949668
flow_npe,100,100,N=n,59,lambda,posterior_samples.pkl,10000,96.58024527530671,-3.4197547246932913
flow_npe,100,100,N=n,59,sigma,posterior_samples.pkl,10000,3.726929790064087,1.7269297900640872
flow_npe,100,100,N=n,59,xi,posterior_samples.pkl,10000,-1.2088340861320495,-1.1088340861320494
flow_npe,100,100,N=n,60,lambda,posterior_samples.pkl,10000,109.00062070350647,9.00062070350647
flow_npe,100,100,N=n,60,sigma,posterior_samples.pkl,10000,6.068967609146982,4.068967609146982
flow_npe,100,100,N=n,60,xi,posterior_samples.pkl,10000,-1.2972266735315323,-1.1972266735315322
flow_npe,100,100,N=n,61,lambda,posterior_samples.pkl,10000,97.79178287563325,-2.2082171243667545
flow_npe,100,100,N=n,61,sigma,posterior_samples.pkl,10000,4.318783593183709,2.318783593183709
flow_npe,100,100,N=n,61,xi,posterior_samples.pkl,10000,-1.6194147013902664,-1.5194147013902664
flow_npe,100,100,N=n,62,lambda,posterior_samples.pkl,10000,100.43754074001312,0.4375407400131195
flow_npe,100,100,N=n,62,sigma,posterior_samples.pkl,10000,2.012492492880579,0.012492492880578965
flow_npe,100,100,N=n,62,xi,posterior_samples.pkl,10000,-0.8541111543893815,-0.7541111543893815
flow_npe,100,100,N=n,63,lambda,posterior_samples.pkl,10000,101.66064185829163,1.6606418582916262
flow_npe,100,100,N=n,63,sigma,posterior_samples.pkl,10000,3.4735275932103393,1.4735275932103393
flow_npe,100,100,N=n,63,xi,posterior_samples.pkl,10000,-1.3051659101843833,-1.2051659101843832
flow_npe,100,100,N=n,64,lambda,posterior_samples.pkl,10000,99.56776815662384,-0.43223184337615805
flow_npe,100,100,N=n,64,sigma,posterior_samples.pkl,10000,4.732496609705501,2.7324966097055006
flow_npe,100,100,N=n,64,xi,posterior_samples.pkl,10000,-1.53667342659235,-1.43667342659235
flow_npe,100,100,N=n,65,lambda,posterior_samples.pkl,10000,100.51496680755615,0.5149668075561493
flow_npe,100,100,N=n,65,sigma,posterior_samples.pkl,10000,3.569444289483689,1.5694442894836889
flow_npe,100,100,N=n,65,xi,posterior_samples.pkl,10000,-1.5335372855186462,-1.4335372855186461
flow_npe,100,100,N=n,66,lambda,posterior_samples.pkl,10000,100.3958479768753,0.39584797687530227
flow_npe,100,100,N=n,66,sigma,posterior_samples.pkl,10000,3.5041280429665,1.5041280429664998
flow_npe,100,100,N=n,66,xi,posterior_samples.pkl,10000,-1.5767303468108178,-1.4767303468108177
flow_npe,100,100,N=n,67,lambda,posterior_samples.pkl,10000,103.9214206439972,3.9214206439971946
flow_npe,100,100,N=n,67,sigma,posterior_samples.pkl,10000,2.77096969282208,0.7709696928220802
flow_npe,100,100,N=n,67,xi,posterior_samples.pkl,10000,-1.103982272541523,-1.0039822725415228
flow_npe,100,100,N=n,68,lambda,posterior_samples.pkl,10000,99.69630925617219,-0.3036907438278149
flow_npe,100,100,N=n,68,sigma,posterior_samples.pkl,10000,3.8629933699747547,1.8629933699747547
flow_npe,100,100,N=n,68,xi,posterior_samples.pkl,10000,-0.7898681279420853,-0.6898681279420853
flow_npe,100,100,N=n,69,lambda,posterior_samples.pkl,10000,102.80047163734436,2.8004716373443586
flow_npe,100,100,N=n,69,sigma,posterior_samples.pkl,10000,3.7116235414659604,1.7116235414659604
flow_npe,100,100,N=n,69,xi,posterior_samples.pkl,10000,-1.1825269541502,-1.0825269541501998
flow_npe,100,100,N=n,70,lambda,posterior_samples.pkl,10000,100.70208501930237,0.7020850193023733
flow_npe,100,100,N=n,70,sigma,posterior_samples.pkl,10000,3.0549368081478403,1.0549368081478403
flow_npe,100,100,N=n,70,xi,posterior_samples.pkl,10000,-1.136613402879238,-1.036613402879238
flow_npe,100,100,N=n,71,lambda,posterior_samples.pkl,10000,99.66655012435913,-0.33344987564086637
flow_npe,100,100,N=n,71,sigma,posterior_samples.pkl,10000,3.0485289028611033,1.0485289028611033
flow_npe,100,100,N=n,71,xi,posterior_samples.pkl,10000,-1.057021236371994,-0.957021236371994
flow_npe,100,100,N=n,72,lambda,posterior_samples.pkl,10000,97.60116404743195,-2.3988359525680494
flow_npe,100,100,N=n,72,sigma,posterior_samples.pkl,10000,2.928124093449488,0.9281240934494881
flow_npe,100,100,N=n,72,xi,posterior_samples.pkl,10000,-0.7541988692879676,-0.6541988692879677
flow_npe,100,100,N=n,73,lambda,posterior_samples.pkl,10000,97.04775305862427,-2.9522469413757335
flow_npe,100,100,N=n,73,sigma,posterior_samples.pkl,10000,4.079592341087572,2.0795923410875723
flow_npe,100,100,N=n,73,xi,posterior_samples.pkl,10000,-1.3810195121765136,-1.2810195121765136
flow_npe,100,100,N=n,74,lambda,posterior_samples.pkl,10000,100.01587658576965,0.015876585769646567
flow_npe,100,100,N=n,74,sigma,posterior_samples.pkl,10000,3.3702540767565368,1.3702540767565368
flow_npe,100,100,N=n,74,xi,posterior_samples.pkl,10000,-1.0924100140333175,-0.9924100140333175
flow_npe,100,100,N=n,75,lambda,posterior_samples.pkl,10000,101.3196686454773,1.319668645477293
flow_npe,100,100,N=n,75,sigma,posterior_samples.pkl,10000,3.5044787310849874,1.5044787310849874
flow_npe,100,100,N=n,75,xi,posterior_samples.pkl,10000,-1.5144377953529358,-1.4144377953529357
flow_npe,100,100,N=n,76,lambda,posterior_samples.pkl,10000,98.45962015266419,-1.5403798473358137
flow_npe,100,100,N=n,76,sigma,posterior_samples.pkl,10000,2.936087750570383,0.9360877505703828
flow_npe,100,100,N=n,76,xi,posterior_samples.pkl,10000,-1.2582395506620407,-1.1582395506620407
flow_npe,100,100,N=n,77,lambda,posterior_samples.pkl,10000,92.4401541639328,-7.559845836067197
flow_npe,100,100,N=n,77,sigma,posterior_samples.pkl,10000,5.055497479940579,3.0554974799405787
flow_npe,100,100,N=n,77,xi,posterior_samples.pkl,10000,-1.891579908835888,-1.791579908835888
flow_npe,100,100,N=n,78,lambda,posterior_samples.pkl,10000,97.179020170784,-2.820979829216
flow_npe,100,100,N=n,78,sigma,posterior_samples.pkl,10000,3.5985471360165624,1.5985471360165624
flow_npe,100,100,N=n,78,xi,posterior_samples.pkl,10000,-1.4266730575203896,-1.3266730575203896
flow_npe,100,100,N=n,79,lambda,posterior_samples.pkl,10000,93.8627821111679,-6.137217888832097
flow_npe,100,100,N=n,79,sigma,posterior_samples.pkl,10000,4.182173110426031,2.1821731104260307
flow_npe,100,100,N=n,79,xi,posterior_samples.pkl,10000,-1.4642763336658478,-1.3642763336658477
flow_npe,100,100,N=n,80,lambda,posterior_samples.pkl,10000,99.83242839565277,-0.16757160434723062
flow_npe,100,100,N=n,80,sigma,posterior_samples.pkl,10000,4.097990874443389,2.097990874443389
flow_npe,100,100,N=n,80,xi,posterior_samples.pkl,10000,-1.7139532397508621,-1.613953239750862
flow_npe,100,100,N=n,81,lambda,posterior_samples.pkl,10000,95.5744299396515,-4.425570060348505
flow_npe,100,100,N=n,81,sigma,posterior_samples.pkl,10000,3.6600475863363595,1.6600475863363595
flow_npe,100,100,N=n,81,xi,posterior_samples.pkl,10000,-1.1397791677832603,-1.0397791677832602
flow_npe,100,100,N=n,82,lambda,posterior_samples.pkl,10000,96.2696134059906,-3.7303865940094028
flow_npe,100,100,N=n,82,sigma,posterior_samples.pkl,10000,4.550366401550267,2.550366401550267
flow_npe,100,100,N=n,82,xi,posterior_samples.pkl,10000,-1.5193418220996857,-1.4193418220996856
flow_npe,100,100,N=n,83,lambda,posterior_samples.pkl,10000,95.18990193538666,-4.810098064613342
flow_npe,100,100,N=n,83,sigma,posterior_samples.pkl,10000,3.7262294032331558,1.7262294032331558
flow_npe,100,100,N=n,83,xi,posterior_samples.pkl,10000,-1.319852432179451,-1.2198524321794508
flow_npe,100,100,N=n,84,lambda,posterior_samples.pkl,10000,100.00388294639588,0.0038829463958762744
flow_npe,100,100,N=n,84,sigma,posterior_samples.pkl,10000,3.3718962741450174,1.3718962741450174
flow_npe,100,100,N=n,84,xi,posterior_samples.pkl,10000,-0.9661306561470032,-0.8661306561470032
flow_npe,100,100,N=n,85,lambda,posterior_samples.pkl,10000,103.7621302482605,3.7621302482605046
flow_npe,100,100,N=n,85,sigma,posterior_samples.pkl,10000,3.4918267215147614,1.4918267215147614
flow_npe,100,100,N=n,85,xi,posterior_samples.pkl,10000,-1.4277924406170845,-1.3277924406170845
flow_npe,100,100,N=n,86,lambda,posterior_samples.pkl,10000,99.24297594184875,-0.7570240581512451
flow_npe,100,100,N=n,86,sigma,posterior_samples.pkl,10000,3.7559041804246602,1.7559041804246602
flow_npe,100,100,N=n,86,xi,posterior_samples.pkl,10000,-1.4229574850440025,-1.3229574850440025
flow_npe,100,100,N=n,87,lambda,posterior_samples.pkl,10000,98.67251987800599,-1.3274801219940144
flow_npe,100,100,N=n,87,sigma,posterior_samples.pkl,10000,3.705745873683691,1.705745873683691
flow_npe,100,100,N=n,87,xi,posterior_samples.pkl,10000,-1.5450606271982192,-1.4450606271982191
flow_npe,100,100,N=n,88,lambda,posterior_samples.pkl,10000,100.77099765872956,0.7709976587295557
flow_npe,100,100,N=n,88,sigma,posterior_samples.pkl,10000,2.6203144889481367,0.6203144889481367
flow_npe,100,100,N=n,88,xi,posterior_samples.pkl,10000,-0.9876690125107765,-0.8876690125107766
flow_npe,100,100,N=n,89,lambda,posterior_samples.pkl,10000,102.40328977298736,2.403289772987364
flow_npe,100,100,N=n,89,sigma,posterior_samples.pkl,10000,3.916556198317441,1.916556198317441
