method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_q50,seed_mean_bias_q75,seed_mean_bias_q95
flow_npe,500,500,N=n,xi,101,10100,-1.2529231791094977,0.1474643925303692,1.2529231791094977,1.2614860028505357,1.2529231791094977,-1.5016031002998351,-1.3572114408016205,-1.2595919251441956,-1.152058470249176,-1.0352777230739594
flow_npe,500,3107,N=n log(n),lambda,101,10100,-0.10165920673030437,0.3601102028182817,0.2981309290215521,0.37246476134734374,0.46398387569012034,-0.7084603118896484,-0.3584246063232422,-0.12154266357421875,0.10827468872070313,0.6109939575195312
flow_npe,500,3107,N=n log(n),sigma,101,10100,0.7502251299300996,0.2696698311188936,0.7502251299300996,0.7967681879920612,0.7503663258977455,0.27420969247817994,0.5523373031616211,0.7976369714736938,0.9632594275474549,1.1053734564781188
flow_npe,500,3107,N=n log(n),xi,101,10100,-0.8096944571419222,0.27815167718813905,0.8096944571419222,0.8556912095650632,0.8096944571419222,-1.1818840754032136,-1.0395698297023772,-0.8614120537042618,-0.6251825606822967,-0.3183818277716637
flow_npe,500,11180,N=n^(3/2),lambda,101,10100,-0.015362512569616337,0.27423109409641666,0.21717444542610995,0.2733022477830383,0.41550691963422404,-0.5303268432617188,-0.1732379150390625,-0.02297149658203125,0.17187156677246093,0.36481048583984377
flow_npe,500,11180,N=n^(3/2),sigma,101,10100,0.17580908769428144,0.23437421861538935,0.17821445603181824,0.292055192838595,0.1897994549557714,-0.008827047348022461,0.031008764505386352,0.0858865213394165,0.1918315291404724,0.6793153953552246
flow_npe,500,11180,N=n^(3/2),xi,101,10100,-0.15939413801425753,0.19223530056253943,0.15949621194217461,0.24898798517279316,0.15978943643741084,-0.5506090804934501,-0.1807377114892006,-0.0860450778901577,-0.04687825344502926,-0.011655137240886689
flow_npe,500,250000,N=n^2,lambda,94,9400,-0.011176759435775433,0.14537708163259108,0.12174581487128075,0.14503303331693496,0.37170417785644533,-0.24851249694824218,-0.1086009979248047,-0.016781425476074217,0.10584884643554687,0.1932060241699218
flow_npe,500,250000,N=n^2,sigma,94,9400,0.009438614655048288,0.01734434701889815,0.015322259981581505,0.019665033423545905,0.042552753547404676,-0.015556621491909027,-0.0033308088779449465,0.008144460916519165,0.019676143229007723,0.03915533518791196
flow_npe,500,250000,N=n^2,xi,94,9400,-0.0076401819811856495,0.00780357168936615,0.008755875156914932,0.010891293995205397,0.012798615497477508,-0.02192800060659647,-0.011557672247290611,-0.007293176352977753,-0.0031286239996552467,0.003723037891089913
flow_npe,1000,1000,N=n,lambda,101,10100,-0.39269985387821005,0.6049135668768908,0.5585837411408378,0.7186867357469896,0.621269352978999,-1.3795121002197266,-0.7292985534667968,-0.3263811492919922,0.0163800048828125,0.5457003784179687
flow_npe,1000,1000,N=n,sigma,101,10100,1.0270283657253378,0.21329495792897593,1.0270283657253378,1.0487285445343875,1.0270283657253378,0.730752956867218,0.8496618676185608,1.0251105213165284,1.1672482442855836,1.3940193462371826
flow_npe,1000,1000,N=n,xi,101,10100,-1.1287450941364363,0.1523739111765518,1.1287450941364363,1.1388825299604834,1.1287450941364363,-1.3566248083114625,-1.2447682166099547,-1.1407258772850037,-1.0269181084632875,-0.8508233648538589
flow_npe,1000,6907,N=n log(n),lambda,101,10100,-0.07918658870281559,0.24194280875001525,0.1996158229714573,0.2534309984684042,0.32480993894067134,-0.48188674926757813,-0.2287628173828125,-0.07328498840332032,0.06265129089355469,0.35379905700683595
flow_npe,1000,6907,N=n log(n),sigma,101,10100,0.4516949138310876,0.34384941477249614,0.45180728001169645,0.5666481246770961,0.45397737401546817,0.016429165601730345,0.1278727102279663,0.3788018345832825,0.7454909586906433,1.0340059781074524
flow_npe,1000,6907,N=n log(n),xi,101,10100,-0.4633956862757406,0.3344561235189988,0.4633956862757406,0.5705163687127811,0.46339589596901204,-1.0303956663608551,-0.7368247014284134,-0.42595293194055556,-0.15315971434116363,-0.048143183141946794
flow_npe,1000,31622,N=n^(3/2),lambda,100,10000,0.009180924224853518,0.1797271126385658,0.14436896438598631,0.17906173805937506,0.2911344383239746,-0.2501913337707519,-0.12707393646240234,0.005632438659667969,0.12948511123657225,0.3316281585693359
flow_npe,1000,31622,N=n^(3/2),sigma,100,10000,0.051865704953670495,0.12626232099271806,0.06180674430131911,0.13591469131696063,0.07574499231576919,-0.03334981244802475,0.0024668619036674498,0.01796019732952118,0.04960590660572052,0.27323039376735686
flow_npe,1000,31622,N=n^(3/2),xi,100,10000,-0.048561521124094724,0.09306939296540667,0.050118280633538966,0.10456344543752225,0.0513045959584415,-0.15461601860448718,-0.048665368035435676,-0.022913131415843963,-0.007987511288374664,0.005887033753097054
flow_npe,1000,1000000,N=n^2,lambda,63,6300,0.008041402423192585,0.1155178970320673,0.08823874942840092,0.11487921073940198,0.26676337226988783,-0.16770467376708983,-0.05382133483886719,0.0035417938232421876,0.08216415405273438,0.19507914733886716
flow_npe,1000,1000000,N=n^2,sigma,63,6300,0.0010581629238431418,0.013745919543834051,0.011201321208287799,0.013677382852822264,0.020032843218909375,-0.019040017604827878,-0.008661637902259826,0.0004240059852600098,0.009994886517524719,0.023631976008415222
flow_npe,1000,1000000,N=n^2,xi,63,6300,-0.0008495386051280157,0.003496772749607069,0.002781524198159339,0.003571421212572135,0.005235858627018474,-0.006020631492137909,-0.003062514625489712,-0.0005685888230800628,0.0010755675286054612,0.004847634822130202
flow_npe,5000,5000,N=n,lambda,101,10100,-0.10181470738779198,0.29847047772277824,0.24844042107610423,0.31395674019172076,0.2745532445624323,-0.5828226470947265,-0.2628363800048828,-0.09339569091796875,0.09721519470214844,0.3447178649902344
flow_npe,5000,5000,N=n,sigma,101,10100,0.6621793746122039,0.29338515274375626,0.6621793746122039,0.7236740604691765,0.6622050425911893,0.1293843126296997,0.4655889940261841,0.7099963808059693,0.8910455250740051,1.0775533843040466
flow_npe,5000,5000,N=n,xi,101,10100,-0.7359632034216185,0.3187346794465935,0.7359632034216185,0.8013911487578123,0.7359632034216185,-1.1644224393367768,-0.9536271929740906,-0.8025242233276367,-0.47398902535438536,-0.128261224552989
flow_npe,5000,42585,N=n log(n),lambda,98,9800,-0.022270890060736213,0.14169394841533617,0.11101751911396883,0.14271754772554573,0.15869344983782088,-0.2617360382080078,-0.1059199333190918,-0.010732994079589844,0.08876588821411133,0.1687838516235351
flow_npe,5000,42585,N=n log(n),sigma,98,9800,0.05383645557627386,0.15362520623854886,0.06182488505937616,0.16204395832838692,0.06529259824022954,-0.027352286875247954,0.0009947177767753602,0.020906707644462584,0.0381653892993927,0.2020475438833234
flow_npe,5000,42585,N=n log(n),xi,98,9800,-0.0580932380175408,0.13635955504284228,0.05914673956149086,0.14757716148881156,0.05944956238400571,-0.19455114588141437,-0.047103572115302084,-0.021828514449298383,-0.007578567750751972,0.0036999435201287207
flow_npe,5000,353553,N=n^(3/2),lambda,84,8400,0.004389754704066685,0.07854813689842584,0.06058645430065337,0.07820249126330608,0.12906769434611004,-0.1365582160949707,-0.04372442245483399,0.007744712829589844,0.050768527984619144,0.11222316741943358
flow_npe,5000,353553,N=n^(3/2),sigma,84,8400,0.006154695536409106,0.01661814501207413,0.013139417611417318,0.017628254850613853,0.019822451259408676,-0.022187116742134094,-0.001459721028804779,0.0054781526327133175,0.01210531622171402,0.030865365922451014
flow_npe,5000,353553,N=n^(3/2),xi,84,8400,-0.00596856353538377,0.00866875486846843,0.007564130716380617,0.010482196849927582,0.008296281164955524,-0.022597856268286705,-0.008008273690938948,-0.004821704812347888,-0.0012715918011963368,0.006247202921658754
flow_npe,5000,2500000,other,lambda,26,2600,0.008401586092435399,0.06273941246090384,0.047832832336425775,0.06209208415083977,0.1203719241802509,-0.09211460113525391,-0.015648040771484375,0.010661506652832033,0.03359580993652343,0.10617185592651368
flow_npe,5000,2500000,other,sigma,26,2600,0.0010323690909605757,0.008143833418220269,0.006353422265786391,0.008052140190973287,0.01216087620991927,-0.009887690246105195,-0.004282259047031402,-0.00046988606452941895,0.006592658758163452,0.016908395290374755
flow_npe,5000,2500000,other,xi,26,2600,-0.001012959612103609,0.003785651901329486,0.00287616779597906,0.003847862915960221,0.0037397949569500416,-0.00730488507077098,-0.0031849695928394795,-0.0010123061016201972,0.0014980869367718697,0.002950047831982374
flow_npe,5000,25000000,N=n^2,lambda,3,300,0.05122762044270834,0.05032561544221401,0.05122762044270834,0.06567125811682963,0.11793060302734375,0.013863265991210938,0.022916183471679688,0.03423233032226562,0.07104141235351563,0.10048867797851561
flow_npe,5000,25000000,N=n^2,sigma,3,300,0.002075260082880656,0.010538983639831745,0.007861124277114868,0.008851750590628498,0.013237025340398154,-0.007558971524238587,-0.0030796724557876592,0.002519451379776001,0.007452288269996644,0.011398557782173156
flow_npe,5000,25000000,N=n^2,xi,3,300,-0.002311475649476052,0.0050737238504670445,0.0033947768062353137,0.004743912114698812,0.004409896259506544,-0.007285931199789048,-0.004279689341783524,-0.000521887019276619,0.000551532357931137,0.0014102678596973417
gaussian_npe,100,100,N=n,lambda,101,10100,1.9228906023384318,6.938679542840722,5.01118670019773,7.167014454262482,5.147668349766496,-6.620733718872071,-2.0708123016357423,0.382275390625,6.215859603881836,14.989973220825195
gaussian_npe,100,100,N=n,sigma,101,10100,2.5752222029525456,1.1296811154222683,2.5752222029525456,2.809860028060885,2.5752222029525456,0.9641689372062683,1.676888473033905,2.4342612123489378,3.3386286163330077,4.709079189300537
