method,n,N,N_label,seed,param,source,replicate_count,mean_bias,mean_abs_bias,rmse_bias,q05,q25,q50,q75,q95
gaussian_npe,5000,42585,N=n log(n),59,xi,biases.npy,100,-1.2772052788734436,1.2772052788734436,1.2772514381058178,-1.293622577190399,-1.2844464778900146,-1.2777813076972961,-1.2686912715435028,-1.2598337650299072
gaussian_npe,5000,42585,N=n log(n),60,lambda,biases.npy,100,0.02035614013671875,0.0947601318359375,0.1239526309524868,-0.17603187561035155,-0.043849945068359375,0.036853790283203125,0.08808517456054688,0.22411651611328123
gaussian_npe,5000,42585,N=n log(n),60,sigma,biases.npy,100,0.7131077718734741,0.7131077718734741,0.7134608060709714,0.6755149841308594,0.6983639001846313,0.7146265506744385,0.7268156409263611,0.7513852477073669
gaussian_npe,5000,42585,N=n log(n),60,xi,biases.npy,100,-1.0995160663127899,1.0995160663127899,1.0995644824751527,-1.1151120603084563,-1.1072722673416138,-1.099403202533722,-1.0931816697120667,-1.0822703123092652
gaussian_npe,5000,42585,N=n log(n),61,lambda,biases.npy,100,-0.03340316772460938,0.11399826049804687,0.14794862189975116,-0.27423934936523436,-0.11128044128417969,-0.038127899169921875,0.06314468383789062,0.16482391357421855
gaussian_npe,5000,42585,N=n log(n),61,sigma,biases.npy,100,0.43250428199768065,0.43250428199768065,0.43301934064851844,0.3965030789375305,0.4163885712623596,0.4343831539154053,0.44778579473495483,0.4632491707801819
gaussian_npe,5000,42585,N=n log(n),61,xi,biases.npy,100,-1.231730054616928,1.231730054616928,1.2317817060559584,-1.2490487575531006,-1.2397025227546692,-1.2323148250579834,-1.2239149808883667,-1.2106581628322601
gaussian_npe,5000,42585,N=n log(n),62,lambda,biases.npy,100,-0.0396405029296875,0.13171401977539063,0.16818097141839858,-0.3037387847900391,-0.16613006591796875,-0.00592041015625,0.07490348815917969,0.19629249572753904
gaussian_npe,5000,42585,N=n log(n),62,sigma,biases.npy,100,0.5653032851219177,0.5653032851219177,0.565706050092596,0.5240881204605102,0.5520621538162231,0.5657986402511597,0.5797836780548096,0.5954232335090637
gaussian_npe,5000,42585,N=n log(n),62,xi,biases.npy,100,-1.256015955209732,1.256015955209732,1.2560825574036398,-1.2784663379192351,-1.2642621099948883,-1.2564963698387146,-1.2488115727901459,-1.2335339188575745
gaussian_npe,5000,42585,N=n log(n),63,lambda,biases.npy,100,-0.2313787841796875,0.23302322387695312,0.26393437618998533,-0.41967048645019533,-0.32279014587402344,-0.23415756225585938,-0.13341712951660156,-0.040848541259765704
gaussian_npe,5000,42585,N=n log(n),63,sigma,biases.npy,100,0.7956778407096863,0.7956778407096863,0.7959587167888396,0.760576069355011,0.7809006571769714,0.7945711612701416,0.8113060593605042,0.8331235170364379
gaussian_npe,5000,42585,N=n log(n),63,xi,biases.npy,100,-1.2764344799518585,1.2764344799518585,1.2764863682446763,-1.2948938488960267,-1.285062313079834,-1.2751514911651611,-1.2696799337863922,-1.2564916133880615
gaussian_npe,5000,42585,N=n log(n),64,lambda,biases.npy,100,0.04541091918945313,0.12534500122070313,0.15323077328727877,-0.24831695556640626,-0.052280426025390625,0.07042312622070312,0.146331787109375,0.26365203857421865
gaussian_npe,5000,42585,N=n log(n),64,sigma,biases.npy,100,0.6329040670394898,0.6329040670394898,0.6334152935028968,0.5920705080032349,0.6152249574661255,0.6324830055236816,0.6490311622619629,0.6763039588928222
gaussian_npe,5000,42585,N=n log(n),64,xi,biases.npy,100,-1.229094216823578,1.229094216823578,1.229182757821772,-1.2534214973449707,-1.2382950186729431,-1.2285993099212646,-1.220412015914917,-1.2041002094745636
gaussian_npe,5000,42585,N=n log(n),65,lambda,biases.npy,100,0.1544134521484375,0.18054779052734374,0.2113579899674471,-0.10801544189453124,0.07850456237792969,0.16470718383789062,0.2688446044921875,0.35673522949218744
gaussian_npe,5000,42585,N=n log(n),65,sigma,biases.npy,100,0.2466119956970215,0.2466119956970215,0.24752529253449052,0.21050068140029907,0.23205888271331787,0.24582457542419434,0.25939643383026123,0.2806933522224426
gaussian_npe,5000,42585,N=n log(n),65,xi,biases.npy,100,-1.012849712371826,1.012849712371826,1.0129307910717666,-1.031193733215332,-1.0209815204143524,-1.0137026906013489,-1.0034674108028412,-0.9923035085201264
gaussian_npe,5000,42585,N=n log(n),66,lambda,biases.npy,100,0.05501182556152344,0.12342079162597656,0.16184362039382288,-0.1900787353515625,-0.03824043273925781,0.0548858642578125,0.13909912109375,0.296356201171875
gaussian_npe,5000,42585,N=n log(n),66,sigma,biases.npy,100,0.5480856013298034,0.5480856013298034,0.5484783820803801,0.5149255752563476,0.5345814228057861,0.5491886138916016,0.5639124512672424,0.5782442688941956
gaussian_npe,5000,42585,N=n log(n),66,xi,biases.npy,100,-1.3557870614528655,1.3557870614528655,1.3558464479306327,-1.377525508403778,-1.3641909956932068,-1.3554694652557373,-1.3466300964355469,-1.3344762086868287
gaussian_npe,5000,42585,N=n log(n),67,lambda,biases.npy,100,0.21378837585449217,0.2208123016357422,0.2550436325782751,0.012536239624023442,0.11729812622070312,0.18732833862304688,0.32889747619628906,0.4289722442626952
gaussian_npe,5000,42585,N=n log(n),67,sigma,biases.npy,100,0.942200129032135,0.942200129032135,0.9424098235133649,0.9166841268539428,0.9277757406234741,0.9402337074279785,0.9563658237457275,0.9711284279823303
gaussian_npe,5000,42585,N=n log(n),67,xi,biases.npy,100,-1.4173063659667968,1.4173063659667968,1.4173507365763753,-1.437012368440628,-1.4242836236953735,-1.417644202709198,-1.4090009927749634,-1.399438053369522
gaussian_npe,5000,42585,N=n log(n),68,lambda,biases.npy,100,0.20009239196777343,0.20837425231933593,0.24166415728109936,-0.034621810913085936,0.12491798400878906,0.1999664306640625,0.2974987030029297,0.4169967651367187
gaussian_npe,5000,42585,N=n log(n),68,sigma,biases.npy,100,0.5017777562141419,0.5017777562141419,0.5021238003061095,0.4703113555908203,0.4894508719444275,0.5013312101364136,0.511895477771759,0.532238781452179
gaussian_npe,5000,42585,N=n log(n),68,xi,biases.npy,100,-1.2065641510486602,1.2065641510486602,1.206637687549288,-1.2290574491024018,-1.2145189940929413,-1.2064093947410583,-1.1973775029182434,-1.186745834350586
gaussian_npe,5000,42585,N=n log(n),69,lambda,biases.npy,100,0.06179031372070312,0.12021835327148438,0.1529275952408586,-0.1509937286376953,-0.0253753662109375,0.06502151489257812,0.15178680419921875,0.3008907318115234
gaussian_npe,5000,42585,N=n log(n),69,sigma,biases.npy,100,0.9502848410606384,0.9502848410606384,0.9505836104556904,0.9220428586006164,0.9360793828964233,0.9459091424942017,0.963385820388794,0.9938541889190674
gaussian_npe,5000,42585,N=n log(n),69,xi,biases.npy,100,-1.2587461364269257,1.2587461364269257,1.2588173945828787,-1.2805087387561798,-1.2668104767799377,-1.2586832642555237,-1.2494668066501617,-1.2372325122356416
gaussian_npe,5000,42585,N=n log(n),70,lambda,biases.npy,100,0.10138740539550781,0.14234214782714844,0.1755880121155856,-0.1457843780517578,0.001255035400390625,0.1114044189453125,0.18766403198242188,0.3454246520996094
gaussian_npe,5000,42585,N=n log(n),70,sigma,biases.npy,100,0.21870431184768677,0.21870431184768677,0.2197044702541185,0.18751173019409179,0.2032771110534668,0.21852612495422363,0.2307773232460022,0.2559587717056274
gaussian_npe,5000,42585,N=n log(n),70,xi,biases.npy,100,-1.0285322320461274,1.0285322320461274,1.0285861172672064,-1.047362172603607,-1.0356248617172241,-1.0286182761192322,-1.02198725938797,-1.0125041782855988
gaussian_npe,5000,42585,N=n log(n),71,lambda,biases.npy,100,0.04383285522460938,0.114639892578125,0.14197515228641322,-0.17361030578613282,-0.05341339111328125,0.045528411865234375,0.1403522491455078,0.23539390563964832
gaussian_npe,5000,42585,N=n log(n),71,sigma,biases.npy,100,0.570104649066925,0.570104649066925,0.5705440079760846,0.534442150592804,0.5526379346847534,0.567367672920227,0.5869866609573364,0.609802508354187
gaussian_npe,5000,42585,N=n log(n),71,xi,biases.npy,100,-1.1425477361679077,1.1425477361679077,1.142601684267811,-1.156905746459961,-1.1506630778312683,-1.1440929174423218,-1.1358484029769897,-1.1233654975891114
gaussian_npe,5000,42585,N=n log(n),72,lambda,biases.npy,100,0.05677375793457031,0.12228599548339844,0.14820096482088935,-0.15867233276367188,-0.04508399963378906,0.061126708984375,0.15798377990722656,0.2966461181640625
