cell,method,param,x,density
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.919962346178258,0.04139780987103941
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.921270541557893,0.0516453699096663
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9225787369375285,0.06386999911768752
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9238869323171635,0.07757549790644572
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.925195127696799,0.09201195542192324
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9265033230764343,0.10626727386173207
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9278115184560694,0.11944272297053479
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.929119713835705,0.13088537546621615
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9304279092153402,0.14041589314264866
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9317361045949752,0.14847380064013482
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9330442999746107,0.15611771238981242
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.934352495354246,0.16486402299100789
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.935660690733881,0.17640653019655006
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9369688861135166,0.19230455592243528
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9382770814931516,0.21373674000081466
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.939585276872787,0.24138726079865525
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9408934722524225,0.2754757644855221
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9422016676320575,0.31588792294895957
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.943509863011693,0.362333816385469
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9448180583913284,0.4144659595067921
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9461262537709634,0.4719208789988416
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.947434449150599,0.5342901593318294
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9487426445302343,0.6010605576579194
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9500508399098693,0.6715770528219206
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9513590352895047,0.7450756986966977
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9526672306691397,0.8208094149570808
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.953975426048775,0.8982561888993494
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9552836214284106,0.9773630295881052
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9565918168080456,1.0587496095910798
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.957900012187681,1.1437848425619714
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9592082075673165,1.2344697739884487
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9605164029469515,1.3331157865780383
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.961824598326587,1.4418866305998426
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9631327937062224,1.5623452591991378
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9644409890858574,1.695171106243612
