cell,method,param,x,density
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1547087010570505,1.6587265517538852
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.156356515415709,1.5619030591593768
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1580043297743674,1.4717304573723786
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.159652144133026,1.3877968202230295
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1612999584916848,1.3096367181106539
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1629477728503432,1.236632197672771
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1645955872090017,1.1678942425753884
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.16624340156766,1.102238550775303
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1678912159263186,1.0383190535087712
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.169539030284977,0.9748960817238234
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.171186844643636,0.9111406345460816
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1728346590022944,0.8468502373860577
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.174482473360953,0.7824862525453176
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1761302877196114,0.7190178136185957
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.17777810207827,0.6576364807112022
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1794259164369283,0.5994521915274645
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.181073730795587,0.5452766899902085
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1827215451542457,0.4955516134502484
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.184369359512904,0.45041121588728916
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1860171738715626,0.4098169511362383
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.187664988230221,0.3736850980961157
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1893128025888795,0.3419505954320872
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.190960616947538,0.3145523630379602
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.192608431306197,0.29136320352047107
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1942562456648553,0.272104875709972
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.195904060023514,0.25628552211628586
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1975518743821723,0.24318267977388444
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1991996887408307,0.23188127235463935
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.200847503099489,0.2213656681633277
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2024953174581476,0.21065503619597903
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2041431318168065,0.19895895772425073
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.205790946175465,0.1858181935641424
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2074387605341235,0.17119099963956436
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.209086574892782,0.15545462567852775
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2107343892514404,0.13931420771790665
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.212382203610099,0.12363938301994398
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2140300179687573,0.10927152484597591
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.215677832327416,0.09685273659497724
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2173256466860747,0.08671890998252607
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.218973461044733,0.0788770463805189
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2206212754033916,0.073060053861787
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.22226908976205,0.0688300903841443
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2239169041207085,0.06569174270983034
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.225564718479367,0.06318135578273686
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.227212532838026,0.060915052028403194
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2288603471966844,0.0585974529294494
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.230508161555343,0.0560073683808444
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.2321559759140013,0.05298072740900409
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9042409185409546,0.11461506426778541
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.905888732899613,0.12816835544467323
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9075365472582715,0.14384015647831153
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.90918436161693,0.1625125232470555
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.910832175975589,0.18513497897158224
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9124799903342473,0.21279560504694514
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9141278046929058,0.24678406239883213
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9157756190515642,0.2885953524491595
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9174234334102227,0.33986860978938466
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.919071247768881,0.4022864296220081
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9207190621275396,0.47744986006524254
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9223668764861985,0.5667118329213859
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.924014690844857,0.670949284091738
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9256625052035155,0.7903111476097945
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.927310319562174,0.9240590530916145
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9289581339208324,1.070635827243413
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.930605948279491,1.228001089283175
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9322537626381493,1.3941091394863874
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.933901576996808,1.567296180508116
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9355493913554667,1.7463900061561428
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.937197205714125,1.9305327291951881
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9388450200727836,2.118882632773262
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.940492834431442,2.3104069629673614
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9421406487901005,2.50388303163351
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.943788463148759,2.6980953655194306
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.945436277507418,2.892159333951367
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.9470840918660763,3.0859207722515216
"n=1000, N=n^(3/2)",Reference (Gaussian convention),A,2.948731906224735,3.2803884745916503
