seed,x_obs_current,x_obs_current_gamma0,x_obs_current_gamma1,x_obs_current_gamma2,stored_reference_mean,stored_reference_mean_t1,stored_reference_mean_t2,current_reference_mean,current_reference_mean_t1,current_reference_mean_t2,flow_mean,flow_mean_t1,flow_mean_t2,reference_mean_shift,reference_mean_shift_t1,reference_mean_shift_t2,reference_mean_shift_l2,stored_flow_kl,current_flow_kl,current_minus_stored_flow_kl,flow_posterior_sample_count,stored_reference_sample_count,current_reference_sample_count,flow_dir,current_reference_path,reference_reused,nuts_num_warmup,nuts_num_samples,nuts_thinning,nuts_num_chains,status
21,"[1.3054944276809692, 0.6448320746421814, 0.17189152538776398]",1.3054944276809692,0.6448320746421814,0.17189152538776398,"[0.5402945980906486, 0.17407613365650176]",0.5402945980906486,0.17407613365650176,"[0.5694972126245499, 0.17802855040431023]",0.5694972126245499,0.17802855040431023,"[0.5665276612281799, 0.1797327214062214]",0.5665276612281799,0.1797327214062214,"[0.029202614533901272, 0.003952416747808468]",0.029202614533901272,0.003952416747808468,0.02946886990985536,0.723592906989087,0.03576182109962708,-0.6878310858894598,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_21,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_21/nuts_current_reference.pkl,False,2000,10000,10,1,complete
22,"[1.4583872556686401, 0.7182500958442688, 0.1314748227596283]",1.4583872556686401,0.7182500958442688,0.1314748227596283,"[0.648674380004406, 0.12942772547006606]",0.648674380004406,0.12942772547006606,"[0.6141971280574798, 0.11418416773676872]",0.6141971280574798,0.11418416773676872,"[0.615769014453888, 0.10853590148091316]",0.615769014453888,0.10853590148091316,"[-0.03447725194692619, -0.015243557733297344]",-0.03447725194692619,-0.015243557733297344,0.037696776442823265,0.6643499423092952,0.016387699991094733,-0.6479622423182005,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_22,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_22/nuts_current_reference.pkl,False,2000,10000,10,1,complete
23,"[1.2519110441207886, 0.6203104853630066, 0.1723785400390625]",1.2519110441207886,0.6203104853630066,0.1723785400390625,"[0.5098343718647956, 0.17493992398381233]",0.5098343718647956,0.17493992398381233,"[0.5670234430789948, 0.18364748531579972]",0.5670234430789948,0.18364748531579972,"[0.5713479390203953, 0.19110460278987884]",0.5713479390203953,0.19110460278987884,"[0.05718907121419914, 0.008707561331987385]",0.05718907121419914,0.008707561331987385,0.0578481762088751,1.9035309969087821,0.04212770049979356,-1.8614032964089886,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_23,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_23/nuts_current_reference.pkl,False,2000,10000,10,1,complete
24,"[1.441996455192566, 0.7678555846214294, 0.2688697576522827]",1.441996455192566,0.7678555846214294,0.2688697576522827,"[0.606066316664219, 0.2699993823885918]",0.606066316664219,0.2699993823885918,"[0.6052239803671837, 0.272369620680809]",0.6052239803671837,0.272369620680809,"[0.6056759090125561, 0.2646823845624924]",0.6056759090125561,0.2646823845624924,"[-0.0008423362970352288, 0.0023702382922172194]",-0.0008423362970352288,0.0023702382922172194,0.002515464171717781,0.8179534860092533,0.017418312039075838,-0.8005351739701775,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_24,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_24/nuts_current_reference.pkl,False,2000,10000,10,1,complete
25,"[1.422788143157959, 0.6987738609313965, 0.13586297631263733]",1.422788143157959,0.6987738609313965,0.13586297631263733,"[0.6243378670930863, 0.1349417684853077]",0.6243378670930863,0.1349417684853077,"[0.6016502315759659, 0.12649872134923934]",0.6016502315759659,0.12649872134923934,"[0.6023188640654087, 0.12231348208189011]",0.6023188640654087,0.12231348208189011,"[-0.022687635517120386, -0.00844304713606836]",-0.022687635517120386,-0.00844304713606836,0.02420772294743094,0.49331018005828303,0.008268274232074803,-0.4850419058262082,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_25,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_25/nuts_current_reference.pkl,False,2000,10000,10,1,complete
26,"[1.4261294603347778, 0.7497171759605408, 0.21093635261058807]",1.4261294603347778,0.7497171759605408,0.21093635261058807,"[0.6139037263989449, 0.21289542760252952]",0.6139037263989449,0.21289542760252952,"[0.6235501381278038, 0.21391693959236144]",0.6235501381278038,0.21391693959236144,"[0.6249979668498039, 0.2146557183265686]",0.6249979668498039,0.2146557183265686,"[0.009646411728858939, 0.0010215119898319136]",0.009646411728858939,0.0010215119898319136,0.009700347725109531,0.505057088048913,0.03823403794914273,-0.4668230500997703,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_26,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_26/nuts_current_reference.pkl,False,2000,10000,10,1,complete
27,"[1.370426893234253, 0.6815665364265442, 0.15557801723480225]",1.370426893234253,0.6815665364265442,0.15557801723480225,"[0.5867086013436318, 0.15683600606918335]",0.5867086013436318,0.15683600606918335,"[0.5943290780425071, 0.15723168153762818]",0.5943290780425071,0.15723168153762818,"[0.5954426638901233, 0.1568588555932045]",0.5954426638901233,0.1568588555932045,"[0.007620476698875334, 0.0003956754684448227]",0.007620476698875334,0.0003956754684448227,0.0076307420474309665,0.37275526961825833,-0.024240881434681606,-0.39699615105293995,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_27,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_27/nuts_current_reference.pkl,False,2000,10000,10,1,complete
28,"[1.3752514123916626, 0.6875185370445251, 0.1518937647342682]",1.3752514123916626,0.6875185370445251,0.1518937647342682,"[0.593976107442379, 0.1538650929570198]",0.593976107442379,0.1538650929570198,"[0.6033140910744667, 0.15397285045981407]",0.6033140910744667,0.15397285045981407,"[0.6045378711283207, 0.16334272882342338]",0.6045378711283207,0.16334272882342338,"[0.009337983632087599, 0.00010775750279426455]",0.009337983632087599,0.00010775750279426455,0.009338605355862532,0.3938553693652445,0.029191179907805263,-0.3646641894574392,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_28,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_28/nuts_current_reference.pkl,False,2000,10000,10,1,complete
29,"[1.4052135944366455, 0.7169399261474609, 0.1484300196170807]",1.4052135944366455,0.7169399261474609,0.1484300196170807,"[0.6205530178904534, 0.15078824610114097]",0.6205530178904534,0.15078824610114097,"[0.6331347895145416, 0.15157972053289415]",0.6331347895145416,0.15157972053289415,"[0.6368435304284096, 0.14949317286610603]",0.6368435304284096,0.14949317286610603,"[0.012581771624088245, 0.0007914744317531752]",0.012581771624088245,0.0007914744317531752,0.012606641463007946,0.4209472218934201,0.00580248960440214,-0.41514473228901794,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_29,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_29/nuts_current_reference.pkl,False,2000,10000,10,1,complete
30,"[1.4044604301452637, 0.7014088034629822, 0.18862582743167877]",1.4044604301452637,0.7014088034629822,0.18862582743167877,"[0.5962389047145844, 0.18888062581419945]",0.5962389047145844,0.18888062581419945,"[0.5792121407866478, 0.18698911567926407]",0.5792121407866478,0.18698911567926407,"[0.5759011795043946, 0.18735226974487304]",0.5759011795043946,0.18735226974487304,"[-0.01702676392793656, -0.0018915101349353813]",-0.01702676392793656,-0.0018915101349353813,0.017131506076473398,0.6374277446757766,0.011405230724192654,-0.6260225139515839,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_30,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_30/nuts_current_reference.pkl,False,2000,10000,10,1,complete
32,"[1.5868674516677856, 0.8625470995903015, 0.27829352021217346]",1.5868674516677856,0.8625470995903015,0.27829352021217346,"[0.6917627653837204, 0.2781917102336883]",0.6917627653837204,0.2781917102336883,"[0.6429119682073593, 0.28907408638000487]",0.6429119682073593,0.28907408638000487,"[0.6528342138767242, 0.2893064696550369]",0.6528342138767242,0.2893064696550369,"[-0.048850797176361094, 0.010882376146316541]",-0.048850797176361094,0.010882376146316541,0.050048241680961066,1.409984552764005,0.07261143853081378,-1.337373114233191,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_32,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_32/nuts_current_reference.pkl,False,2000,10000,10,1,complete
33,"[1.2997291088104248, 0.5526906847953796, 0.06293410807847977]",1.2997291088104248,0.5526906847953796,0.06293410807847977,"[0.5299122332215309, 0.06097616065144539]",0.5299122332215309,0.06097616065144539,"[0.5086472234487533, 0.056710678571462635]",0.5086472234487533,0.056710678571462635,"[0.5097577073395252, 0.059019735705852505]",0.5097577073395252,0.059019735705852505,"[-0.021265009772777566, -0.0042654820799827575]",-0.021265009772777566,-0.0042654820799827575,0.02168859096416776,0.3725777938205942,0.02516144874774373,-0.34741634507285046,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_33,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_33/nuts_current_reference.pkl,False,2000,10000,10,1,complete
