method,n_obs,n_sims,budget_label,seed,kl,mmd
flow_npe,100,460,N=n log(n),30,0.34717942359419185,0.014095545
flow_npe,100,460,N=n log(n),31,0.5501689415389837,0.027807355
flow_npe,100,460,N=n log(n),32,0.48227273581114516,0.03624463
flow_npe,100,460,N=n log(n),33,0.46888711814604134,0.022145033
flow_npe,100,460,N=n log(n),34,0.43117580050493853,0.012338996
flow_npe,100,460,N=n log(n),35,0.53518098963625,0.01051867
flow_npe,100,460,N=n log(n),36,0.4419025920947902,0.012887239
flow_npe,100,460,N=n log(n),37,0.7287695843110769,0.021489024
flow_npe,100,460,N=n log(n),38,0.20726190606078745,0.002545476
flow_npe,100,460,N=n log(n),39,0.5511103435530686,0.049906373
flow_npe,100,460,N=n log(n),40,0.7192116039988105,0.07531738
flow_npe,100,460,N=n log(n),41,0.30919050395437825,0.0070711374
flow_npe,100,460,N=n log(n),42,0.23408798447565918,0.009298444
flow_npe,100,460,N=n log(n),43,0.5547547280347738,0.022565246
flow_npe,100,460,N=n log(n),44,1.012018645338691,0.053875685
flow_npe,100,460,N=n log(n),45,1.1514347617222693,0.09588778
flow_npe,100,460,N=n log(n),46,0.31057332031761303,0.0150312185
flow_npe,100,460,N=n log(n),47,0.540505833431312,0.04498923
flow_npe,100,460,N=n log(n),48,0.2591898289005152,0.012810707
flow_npe,100,460,N=n log(n),49,0.6382805168094481,0.08075726
flow_npe,100,460,N=n log(n),50,0.859629469089226,0.064349174
flow_npe,100,460,N=n log(n),51,0.60268285984306,0.05878842
flow_npe,100,460,N=n log(n),52,0.35524425150029204,0.015145421
flow_npe,100,460,N=n log(n),53,0.4099955703408927,0.042009473
flow_npe,100,460,N=n log(n),54,0.302614480356058,0.02466011
flow_npe,100,460,N=n log(n),55,0.9504567629132581,0.06856918
flow_npe,100,460,N=n log(n),56,0.6697152084153057,0.043412805
flow_npe,100,460,N=n log(n),57,0.4302891271872173,0.010646462
flow_npe,100,460,N=n log(n),58,0.6094962080496575,0.07737076
flow_npe,100,460,N=n log(n),59,1.2042543468925957,0.09722388
flow_npe,100,460,N=n log(n),60,0.439371526613903,0.039859295
flow_npe,100,460,N=n log(n),61,0.37718946649729806,0.019117832
flow_npe,100,460,N=n log(n),62,0.30402440508778045,0.023700714
flow_npe,100,460,N=n log(n),63,0.983692198616378,0.08967674
flow_npe,100,460,N=n log(n),64,0.47958794549642536,0.056912184
flow_npe,100,460,N=n log(n),65,0.41906549238164825,0.042277098
flow_npe,100,460,N=n log(n),66,0.35619845566581443,0.014635682
flow_npe,100,460,N=n log(n),67,0.6743122557702468,0.08513641
flow_npe,100,460,N=n log(n),68,0.5663866564529809,0.057106495
flow_npe,100,460,N=n log(n),69,0.44436196780329956,0.044315577
flow_npe,100,460,N=n log(n),70,0.7594447080955015,0.047976613
flow_npe,100,460,N=n log(n),71,0.9060729664646822,0.058581352
flow_npe,100,460,N=n log(n),72,0.8042797582898353,0.094833374
flow_npe,100,460,N=n log(n),73,0.43394237867522745,0.021591902
flow_npe,100,460,N=n log(n),74,0.4808838547728262,0.05038047
flow_npe,100,460,N=n log(n),75,0.3658106829618935,0.019892454
flow_npe,100,460,N=n log(n),76,0.3670048590006523,0.006243944
flow_npe,100,460,N=n log(n),77,0.42478159364247003,0.018495798
flow_npe,100,460,N=n log(n),78,0.5000562418847956,0.046407342
flow_npe,100,460,N=n log(n),79,0.4539932047630464,0.015386701
flow_npe,100,460,N=n log(n),80,0.4860304132352341,0.023892641
