n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
100,100,N=n,1,60,9.747112232201314,10.343261726038874
100,100,N=n,1,61,10.14894673459127,8.141072360796699
100,100,N=n,1,62,9.961757715212109,10.99579998987726
100,100,N=n,1,63,8.43826177112092,11.176203169884928
100,100,N=n,1,64,9.623855857902566,7.933796585133928
100,100,N=n,1,65,9.581252430198434,10.350622534388156
100,100,N=n,1,66,11.11950572581698,6.932485148532781
100,100,N=n,1,67,9.523230946928813,6.825902973931999
100,100,N=n,1,68,8.751397287034928,5.837513207323388
100,100,N=n,1,69,11.091529917353627,10.360204526238968
100,100,N=n,1,70,11.126456149413098,8.360248859251104
100,100,N=n,1,71,10.49309820387252,10.701523358061946
100,100,N=n,1,72,9.121744065374331,11.47912751529081
100,100,N=n,1,73,10.53116601335427,7.525171549784918
100,100,N=n,1,74,9.960520468513618,11.931797728869345
100,100,N=n,1,75,11.58073486021433,9.878304248795414
100,100,N=n,1,76,9.875474036187113,7.579734483389552
100,100,N=n,1,77,11.13760580553631,7.901720655986364
100,100,N=n,1,78,8.594446512705721,10.170478412611883
100,100,N=n,1,79,9.481502279538573,9.426584945647225
100,100,N=n,1,80,10.208903267804123,8.717845404800883
100,100,N=n,1,81,10.838873609454508,11.78549646225904
100,100,N=n,1,82,11.565975417502864,6.9514539989367465
100,100,N=n,1,83,8.45168132785333,12.480085130126636
100,100,N=n,1,84,12.372899221371398,12.517111407386292
100,100,N=n,1,85,7.426541009675607,11.541687381749298
100,100,N=n,1,86,8.589692589610468,12.060849101172217
100,100,N=n,1,87,8.265734278176577,9.43798427382057
100,100,N=n,1,88,12.57473548648188,6.394712763730889
100,100,N=n,1,89,7.715757633912606,10.975147024308662
100,100,N=n,1,90,9.962845149857625,7.243098052568712
100,100,N=n,1,91,10.756088521094956,10.301782107349586
100,100,N=n,1,92,11.537094201479452,11.728126780386257
100,100,N=n,1,93,10.885904392607088,12.354160633438113
100,100,N=n,1,94,9.172400146875876,8.871195133491739
100,100,N=n,1,95,11.236698202174342,7.2467387836230435
100,100,N=n,1,96,8.538017794811934,11.481477192227995
100,100,N=n,1,97,10.644536022709191,7.735853847347171
100,100,N=n,1,98,9.568439022015871,11.322377582568388
100,100,N=n,1,99,10.555201103413404,7.482064879992943
100,100,N=n,1,100,10.549007324657644,8.431668093065166
100,460,N=n log(n),1,0,7.315881486592849,6.970013561904399
100,460,N=n log(n),1,1,7.741953521262079,7.125114642529062
100,460,N=n log(n),1,2,9.153480555022018,7.409767382522674
100,460,N=n log(n),1,3,6.7916526047158,6.501266565760289
100,460,N=n log(n),1,4,10.232573394773718,5.980984557774588
100,460,N=n log(n),1,5,10.083281917061624,4.585407412578723
100,460,N=n log(n),1,6,6.443236563791459,6.134513941374049
100,460,N=n log(n),1,7,8.037719559375285,7.654537186851457
100,460,N=n log(n),1,8,9.948514520749317,6.282841693382635
100,460,N=n log(n),1,9,6.980316527299392,9.567384880316569
100,460,N=n log(n),1,10,7.552094147980797,5.427605470544384
100,460,N=n log(n),1,11,7.972066678891218,5.943121927141703
100,460,N=n log(n),1,12,9.032780535017064,10.134428525296
100,460,N=n log(n),1,13,5.653212590490266,6.09896995692404
100,460,N=n log(n),1,14,6.788560736333198,5.775934864200419
100,460,N=n log(n),1,15,6.066237089065358,6.481289641783314
100,460,N=n log(n),1,16,5.701651412673075,5.685440591290026
100,460,N=n log(n),1,17,8.733180162858764,8.018479915360437
100,460,N=n log(n),1,18,6.687864628287565,7.700243531368043
100,460,N=n log(n),1,19,10.668439737536795,6.563121432582457
100,460,N=n log(n),1,20,10.1643027090271,7.727595403090543
100,460,N=n log(n),1,21,7.208688971583292,6.338381057987523
100,460,N=n log(n),1,22,9.093375845928342,10.19822417862162
100,460,N=n log(n),1,23,8.14419501185757,6.505427478748832
100,460,N=n log(n),1,24,9.318720343148488,5.196324929269591
100,460,N=n log(n),1,25,8.022728512053211,5.590190423187546
100,460,N=n log(n),1,26,7.394967928386379,6.22265237697569
100,460,N=n log(n),1,27,7.010694718088538,7.609349691561578
100,460,N=n log(n),1,28,7.446977758881555,7.224108385362563
100,460,N=n log(n),1,29,9.65323829887916,7.895074051844904
100,460,N=n log(n),1,30,7.209682521305881,5.7283613079490605
100,460,N=n log(n),1,31,8.520530293363482,7.12084490884441
100,460,N=n log(n),1,32,5.0160243101787,6.385268722237952
100,460,N=n log(n),1,33,9.34983200549123,4.692649081953324
